id,Qual a principal razão para você ter escolhido a sua instituição de educação superior?,Categoria
244,Gratuidade,Pública
245,Gratuidade,Pública
246,Qualidade/reputação,Pública
247,NA,Pública
248,Foi a única onde tive aprovação,Pública
249,Gratuidade,Pública
251,Gratuidade,Pública
252,Qualidade/reputação,Pública
253,Gratuidade,Pública
254,Proximidade da minha residência,Pública
255,NA,Pública
256,Gratuidade,Pública
257,Proximidade da minha residência,Pública
258,Proximidade da minha residência,Pública
259,Gratuidade,Pública
260,Gratuidade,Pública
261,Qualidade/reputação,Pública
262,Gratuidade,Pública
263,Gratuidade,Pública
264,Gratuidade,Pública
266,Gratuidade,Pública
267,Qualidade/reputação,Pública
268,Qualidade/reputação,Pública
269,Gratuidade,Pública
270,Gratuidade,Pública
271,Proximidade da minha residência,Pública
278,Gratuidade,Pública
281,Gratuidade,Pública
283,Qualidade/reputação,Pública
285,Foi a única onde tive aprovação,Pública
287,Gratuidade,Pública
288,NA,Pública
289,Gratuidade,Pública
290,Gratuidade,Pública
292,Gratuidade,Pública
293,Gratuidade,Pública
300,Gratuidade,Pública
303,Qualidade/reputação,Pública
304,Gratuidade,Pública
305,Gratuidade,Pública
306,Proximidade da minha residência,Pública
307,Gratuidade,Pública
308,Gratuidade,Pública
309,Gratuidade,Pública
310,Gratuidade,Pública
312,Gratuidade,Pública
313,Preço da mensalidade,Pública
314,Gratuidade,Pública
315,Gratuidade,Pública
316,Gratuidade,Pública
317,Gratuidade,Pública
318,Gratuidade,Pública
319,Qualidade/reputação,Pública
320,Qualidade/reputação,Pública
321,Qualidade/reputação,Pública
322,Gratuidade,Pública
323,Gratuidade,Pública
325,Gratuidade,Pública
326,Gratuidade,Pública
327,Gratuidade,Pública
328,Gratuidade,Pública
329,Gratuidade,Pública
330,Gratuidade,Pública
331,Gratuidade,Pública
332,Gratuidade,Pública
333,Gratuidade,Pública
334,Gratuidade,Pública
335,Foi a única onde tive aprovação,Pública
336,Proximidade da minha residência,Pública
337,Gratuidade,Pública
338,Qualidade/reputação,Pública
339,Gratuidade,Pública
340,Gratuidade,Pública
341,Outro motivo,Pública
344,Gratuidade,Pública
346,Qualidade/reputação,Pública
348,Gratuidade,Pública
351,Foi a única onde tive aprovação,Pública
352,Gratuidade,Pública
353,Gratuidade,Pública
354,Gratuidade,Pública
355,Gratuidade,Pública
356,Gratuidade,Pública
357,Gratuidade,Pública
358,Gratuidade,Pública
359,Gratuidade,Pública
360,Gratuidade,Pública
361,Foi a única onde tive aprovação,Pública
362,Gratuidade,Pública
363,Gratuidade,Pública
364,Outro motivo,Pública
365,Qualidade/reputação,Pública
366,Facilidade de acesso,Pública
367,Facilidade de acesso,Pública
368,Gratuidade,Pública
369,Gratuidade,Pública
370,Qualidade/reputação,Pública
372,Qualidade/reputação,Pública
373,Qualidade/reputação,Pública
374,Outro motivo,Pública
375,Gratuidade,Pública
376,Foi a única onde tive aprovação,Pública
377,Gratuidade,Pública
378,Gratuidade,Pública
379,Gratuidade,Pública
380,Gratuidade,Pública
381,Gratuidade,Pública
382,Gratuidade,Pública
384,Gratuidade,Pública
385,Gratuidade,Pública
386,Outro motivo,Pública
387,Gratuidade,Pública
388,Gratuidade,Pública
391,Qualidade/reputação,Pública
392,Outro motivo,Pública
393,Gratuidade,Pública
394,Gratuidade,Pública
395,Qualidade/reputação,Pública
396,Gratuidade,Pública
397,Gratuidade,Pública
398,Gratuidade,Pública
399,Outro motivo,Pública
400,Gratuidade,Pública
401,Gratuidade,Pública
402,Gratuidade,Pública
403,Qualidade/reputação,Pública
404,Gratuidade,Pública
405,Outro motivo,Pública
406,Qualidade/reputação,Pública
407,Gratuidade,Pública
408,Gratuidade,Pública
409,Gratuidade,Pública
410,Qualidade/reputação,Pública
411,Proximidade da minha residência,Pública
412,Gratuidade,Pública
413,Gratuidade,Pública
414,Outro motivo,Pública
415,Qualidade/reputação,Pública
416,Gratuidade,Pública
417,Gratuidade,Pública
418,Gratuidade,Pública
419,Gratuidade,Pública
420,Gratuidade,Pública
421,Outro motivo,Pública
422,Qualidade/reputação,Pública
423,Gratuidade,Pública
424,Outro motivo,Pública
425,Gratuidade,Pública
426,Qualidade/reputação,Pública
427,Gratuidade,Pública
428,Gratuidade,Pública
429,Gratuidade,Pública
430,Gratuidade,Pública
431,Gratuidade,Pública
432,Qualidade/reputação,Pública
433,Gratuidade,Pública
435,Qualidade/reputação,Pública
436,Qualidade/reputação,Pública
437,Proximidade da minha residência,Pública
438,Gratuidade,Pública
439,Gratuidade,Pública
440,Gratuidade,Pública
441,Gratuidade,Pública
442,Proximidade do meu trabalho,Pública
443,Gratuidade,Pública
444,Gratuidade,Pública
446,Gratuidade,Pública
447,Gratuidade,Pública
449,Gratuidade,Pública
450,Qualidade/reputação,Pública
451,NA,Pública
453,Foi a única onde tive aprovação,Pública
454,Gratuidade,Pública
