id,Qual a principal razão para você ter escolhido a sua instituição de educação superior?,Categoria
1937,Gratuidade,Pública
1938,Gratuidade,Pública
1939,Qualidade/reputação,Pública
1941,Qualidade/reputação,Pública
1942,Gratuidade,Pública
1943,Gratuidade,Pública
1945,Gratuidade,Pública
1946,Gratuidade,Pública
1948,Gratuidade,Pública
1950,Outro motivo,Pública
1951,Qualidade/reputação,Pública
1952,Gratuidade,Pública
1953,Proximidade da minha residência,Pública
1956,Gratuidade,Pública
1957,Gratuidade,Pública
1958,Qualidade/reputação,Pública
1959,Qualidade/reputação,Pública
1960,Qualidade/reputação,Pública
1961,Gratuidade,Pública
1962,Gratuidade,Pública
1965,NA,Pública
1968,Gratuidade,Pública
1969,NA,Pública
1970,Gratuidade,Pública
1971,Gratuidade,Pública
1972,Gratuidade,Pública
1973,Gratuidade,Pública
1974,Qualidade/reputação,Pública
1975,Qualidade/reputação,Pública
1976,Qualidade/reputação,Pública
1977,Gratuidade,Pública
1978,Gratuidade,Pública
1979,Qualidade/reputação,Pública
1980,Gratuidade,Pública
1981,Qualidade/reputação,Pública
1982,Gratuidade,Pública
1984,Gratuidade,Pública
1985,Gratuidade,Pública
1986,Gratuidade,Pública
1987,Gratuidade,Pública
1989,Qualidade/reputação,Pública
1990,Gratuidade,Pública
1991,Gratuidade,Pública
1992,Gratuidade,Pública
1993,Gratuidade,Pública
1994,Qualidade/reputação,Pública
1995,Qualidade/reputação,Pública
1996,Qualidade/reputação,Pública
1997,Gratuidade,Pública
1998,Gratuidade,Pública
1999,Gratuidade,Pública
2000,Gratuidade,Pública
2001,Gratuidade,Pública
2002,Gratuidade,Pública
2004,Proximidade da minha residência,Pública
2005,Qualidade/reputação,Pública
2006,Gratuidade,Pública
2007,Gratuidade,Pública
2008,Qualidade/reputação,Pública
2009,Gratuidade,Pública
2010,Qualidade/reputação,Pública
2011,Gratuidade,Pública
2013,Gratuidade,Pública
2014,Gratuidade,Pública
2015,Qualidade/reputação,Pública
2016,Gratuidade,Pública
2017,Gratuidade,Pública
2018,Gratuidade,Pública
2019,Gratuidade,Pública
2020,Gratuidade,Pública
2021,Gratuidade,Pública
2022,Qualidade/reputação,Pública
2023,Gratuidade,Pública
2024,Gratuidade,Pública
2026,Gratuidade,Pública
2027,Gratuidade,Pública
2028,Gratuidade,Pública
2029,Gratuidade,Pública
2031,Gratuidade,Pública
2032,Proximidade do meu trabalho,Pública
2034,Gratuidade,Pública
2039,NA,Pública
2042,Gratuidade,Pública
2043,Qualidade/reputação,Pública
2044,Gratuidade,Pública
2045,NA,Pública
2047,Qualidade/reputação,Pública
2048,NA,Pública
2049,Qualidade/reputação,Pública
2050,Qualidade/reputação,Pública
2051,Gratuidade,Pública
2052,Gratuidade,Pública
2053,NA,Pública
2054,NA,Pública
2056,NA,Pública
2058,Gratuidade,Pública
2060,Qualidade/reputação,Pública
2062,Gratuidade,Pública
2063,Gratuidade,Pública
2066,Gratuidade,Pública
2067,Gratuidade,Pública
2068,Gratuidade,Pública
2069,Gratuidade,Pública
2070,Gratuidade,Pública
2071,Qualidade/reputação,Pública
2073,Qualidade/reputação,Pública
2074,Foi a única onde tive aprovação,Pública
2075,Gratuidade,Pública
2076,Gratuidade,Pública
2077,Qualidade/reputação,Pública
2078,Gratuidade,Pública
2080,Gratuidade,Pública
2083,Qualidade/reputação,Pública
2084,Gratuidade,Pública
2085,Gratuidade,Pública
2086,Qualidade/reputação,Pública
2087,NA,Pública
2088,Gratuidade,Pública
2089,Gratuidade,Pública
2090,Facilidade de acesso,Pública
2091,Qualidade/reputação,Pública
2092,Qualidade/reputação,Pública
2093,Gratuidade,Pública
2094,Gratuidade,Pública
2095,Proximidade da minha residência,Pública
2096,Gratuidade,Pública
2097,Gratuidade,Pública
2098,Gratuidade,Pública
2099,Gratuidade,Pública
2100,Qualidade/reputação,Pública
2101,Outro motivo,Pública
2102,Qualidade/reputação,Pública
2103,Qualidade/reputação,Pública
2105,Gratuidade,Pública
2106,Gratuidade,Pública
2107,Gratuidade,Pública
2108,Gratuidade,Pública
2109,Gratuidade,Pública
2110,Gratuidade,Pública
2111,Gratuidade,Pública
2112,Gratuidade,Pública
2113,Proximidade da minha residência,Pública
2114,Qualidade/reputação,Pública
2115,Gratuidade,Pública
2116,Qualidade/reputação,Pública
2117,Gratuidade,Pública
2118,Qualidade/reputação,Pública
2119,Gratuidade,Pública
2120,Qualidade/reputação,Pública
2121,Qualidade/reputação,Pública
2122,Qualidade/reputação,Pública
2123,Gratuidade,Pública
2124,Gratuidade,Pública
2125,Gratuidade,Pública
2126,Gratuidade,Pública
2127,Gratuidade,Pública
2128,Foi a única onde tive aprovação,Pública
2129,Gratuidade,Pública
2130,Gratuidade,Pública
2131,Qualidade/reputação,Pública
2132,Qualidade/reputação,Pública
2134,Gratuidade,Pública
2135,Gratuidade,Pública
2136,Outro motivo,Pública
2137,Qualidade/reputação,Pública
2138,Gratuidade,Pública
2139,Qualidade/reputação,Pública
2140,Qualidade/reputação,Pública
2141,Gratuidade,Pública
2142,Qualidade/reputação,Pública
2143,Gratuidade,Pública
2144,Gratuidade,Pública
2145,Gratuidade,Pública
2146,Gratuidade,Pública
2147,Gratuidade,Pública
2149,Gratuidade,Pública
2150,Gratuidade,Pública
2151,Outro motivo,Pública
2152,Qualidade/reputação,Pública
2153,Qualidade/reputação,Pública
2154,Gratuidade,Pública
2155,Qualidade/reputação,Pública
2156,Gratuidade,Pública
2157,Gratuidade,Pública
2158,Qualidade/reputação,Pública
2159,Qualidade/reputação,Pública
2160,Gratuidade,Pública
2161,Gratuidade,Pública
2162,Gratuidade,Pública
2163,Gratuidade,Pública
2164,Gratuidade,Pública
2165,Gratuidade,Pública
2166,Qualidade/reputação,Pública
2167,Gratuidade,Pública
2168,Gratuidade,Pública
2169,Qualidade/reputação,Pública
2171,Qualidade/reputação,Pública
2172,Gratuidade,Pública
2173,Gratuidade,Pública
2175,Qualidade/reputação,Pública
2176,Proximidade da minha residência,Pública
2178,Qualidade/reputação,Pública
2179,Gratuidade,Pública
2180,Qualidade/reputação,Pública
2181,Qualidade/reputação,Pública
2182,Qualidade/reputação,Pública
2184,Qualidade/reputação,Pública
2185,Gratuidade,Pública
2186,Gratuidade,Pública
2187,Qualidade/reputação,Pública
2188,Qualidade/reputação,Pública
2189,Gratuidade,Pública
2190,Qualidade/reputação,Pública
2191,Gratuidade,Pública
2193,Proximidade da minha residência,Pública
2194,Qualidade/reputação,Pública
2195,Foi a única onde tive aprovação,Pública
2196,Qualidade/reputação,Pública
2197,Gratuidade,Pública
2198,Gratuidade,Pública
2199,Gratuidade,Pública
2200,Gratuidade,Pública
2202,Gratuidade,Pública
2204,Gratuidade,Pública
2205,Qualidade/reputação,Pública
2206,Gratuidade,Pública
2207,Gratuidade,Pública
2208,Qualidade/reputação,Pública
2209,Outro motivo,Pública
2210,Qualidade/reputação,Pública
2211,Gratuidade,Pública
2212,Gratuidade,Pública
2213,Qualidade/reputação,Pública
2214,Gratuidade,Pública
2215,Qualidade/reputação,Pública
2216,Qualidade/reputação,Pública
2217,Qualidade/reputação,Pública
2218,Gratuidade,Pública
2219,Gratuidade,Pública
2220,Qualidade/reputação,Pública
2222,Qualidade/reputação,Pública
2223,Gratuidade,Pública
2224,Proximidade da minha residência,Pública
2225,Qualidade/reputação,Pública
2226,Gratuidade,Pública
2227,Qualidade/reputação,Pública
2228,Qualidade/reputação,Pública
2229,Qualidade/reputação,Pública
2230,Gratuidade,Pública
2231,Gratuidade,Pública
2232,Gratuidade,Pública
2233,Qualidade/reputação,Pública
2234,Qualidade/reputação,Pública
2236,Qualidade/reputação,Pública
2238,Gratuidade,Pública
2239,Gratuidade,Pública
2240,Gratuidade,Pública
2241,Gratuidade,Pública
2242,Proximidade da minha residência,Pública
2243,Gratuidade,Pública
2244,Qualidade/reputação,Pública
2245,Qualidade/reputação,Pública
2246,Gratuidade,Pública
2247,Qualidade/reputação,Pública
2248,Gratuidade,Pública
2249,Qualidade/reputação,Pública
2250,Foi a única onde tive aprovação,Pública
2251,Gratuidade,Pública
2252,Proximidade da minha residência,Pública
2253,Gratuidade,Pública
2254,Qualidade/reputação,Pública
2255,Qualidade/reputação,Pública
2256,Gratuidade,Pública
2257,Qualidade/reputação,Pública
2258,Gratuidade,Pública
2259,Qualidade/reputação,Pública
2260,Gratuidade,Pública
2261,Qualidade/reputação,Pública
2262,Qualidade/reputação,Pública
2263,Gratuidade,Pública
2264,Gratuidade,Pública
2265,Proximidade da minha residência,Pública
2266,Gratuidade,Pública
2267,Qualidade/reputação,Pública
2268,Qualidade/reputação,Pública
2269,Gratuidade,Pública
2270,Gratuidade,Pública
2271,Qualidade/reputação,Pública
2272,Outro motivo,Pública
2273,Gratuidade,Pública
2275,Qualidade/reputação,Pública
2276,Qualidade/reputação,Pública
2277,Gratuidade,Pública
2278,Qualidade/reputação,Pública
2279,Outro motivo,Pública
2280,Gratuidade,Pública
2281,Qualidade/reputação,Pública
2282,Gratuidade,Pública
2283,Qualidade/reputação,Pública
2284,Gratuidade,Pública
2285,Gratuidade,Pública
2286,Qualidade/reputação,Pública
2287,Qualidade/reputação,Pública
2288,Gratuidade,Pública
2289,Gratuidade,Pública
2290,Qualidade/reputação,Pública
2291,Gratuidade,Pública
2293,Qualidade/reputação,Pública
2294,Qualidade/reputação,Pública
2295,Gratuidade,Pública
2296,Qualidade/reputação,Pública
2297,Outro motivo,Pública
2298,Gratuidade,Pública
2299,Proximidade da minha residência,Pública
2300,Qualidade/reputação,Pública
2301,Gratuidade,Pública
2302,Proximidade da minha residência,Pública
2304,Proximidade da minha residência,Pública
2305,Qualidade/reputação,Pública
2306,Qualidade/reputação,Pública
2307,Gratuidade,Pública
2310,Gratuidade,Pública
2311,Gratuidade,Pública
2312,Gratuidade,Pública
2314,Qualidade/reputação,Pública
2315,Gratuidade,Pública
2316,Gratuidade,Pública
2317,Gratuidade,Pública
2318,Qualidade/reputação,Pública
2319,Qualidade/reputação,Pública
2320,Gratuidade,Pública
2321,Gratuidade,Pública
2322,Facilidade de acesso,Pública
2323,Qualidade/reputação,Pública
2324,Gratuidade,Pública
2325,Gratuidade,Pública
2326,Qualidade/reputação,Pública
2327,Qualidade/reputação,Pública
2328,Gratuidade,Pública
2329,Gratuidade,Pública
2331,Gratuidade,Pública
2332,Qualidade/reputação,Pública
2333,Qualidade/reputação,Pública
2334,Proximidade da minha residência,Pública
2335,Gratuidade,Pública
2337,Qualidade/reputação,Pública
2339,Gratuidade,Pública
2341,Qualidade/reputação,Pública
2344,Foi a única onde tive aprovação,Pública
2345,Qualidade/reputação,Pública
2346,Gratuidade,Pública
2347,Qualidade/reputação,Pública
2348,Gratuidade,Pública
2349,Qualidade/reputação,Pública
2350,Qualidade/reputação,Pública
2351,Gratuidade,Pública
2352,Gratuidade,Pública
2353,Qualidade/reputação,Pública
2354,Gratuidade,Pública
2355,Proximidade da minha residência,Pública
2356,Gratuidade,Pública
2357,Gratuidade,Pública
2358,Qualidade/reputação,Pública
2359,Outro motivo,Pública
2360,Gratuidade,Pública
2361,Gratuidade,Pública
2363,Facilidade de acesso,Pública
2364,Gratuidade,Pública
2365,Qualidade/reputação,Pública
2366,Gratuidade,Pública
2367,Qualidade/reputação,Pública
2368,Qualidade/reputação,Pública
2369,Gratuidade,Pública
2370,Gratuidade,Pública
2371,Proximidade da minha residência,Pública
2372,Gratuidade,Pública
2373,Gratuidade,Pública
2374,Gratuidade,Pública
2375,Gratuidade,Pública
2376,Qualidade/reputação,Pública
2377,Gratuidade,Pública
2378,Qualidade/reputação,Pública
2379,Gratuidade,Pública
2380,Proximidade da minha residência,Pública
2381,Gratuidade,Pública
2382,Qualidade/reputação,Pública
2383,Gratuidade,Pública
2384,Proximidade da minha residência,Pública
2385,Qualidade/reputação,Pública
2386,Qualidade/reputação,Pública
2387,Gratuidade,Pública
2388,Gratuidade,Pública
2389,Qualidade/reputação,Pública
2390,Qualidade/reputação,Pública
2391,Proximidade da minha residência,Pública
2392,Gratuidade,Pública
2393,Qualidade/reputação,Pública
2394,Qualidade/reputação,Pública
2395,Qualidade/reputação,Pública
2396,Qualidade/reputação,Pública
2397,Qualidade/reputação,Pública
2398,Gratuidade,Pública
2399,Proximidade da minha residência,Pública
2400,Gratuidade,Pública
2401,Gratuidade,Pública
2402,Qualidade/reputação,Pública
2403,Gratuidade,Pública
2404,Qualidade/reputação,Pública
2405,Gratuidade,Pública
2406,Facilidade de acesso,Pública
2407,Qualidade/reputação,Pública
2408,Proximidade da minha residência,Pública
2409,Qualidade/reputação,Pública
2410,Proximidade da minha residência,Pública
2411,Qualidade/reputação,Pública
2412,Foi a única onde tive aprovação,Pública
2413,Gratuidade,Pública
2414,Gratuidade,Pública
2415,Qualidade/reputação,Pública
2416,Gratuidade,Pública
2417,Gratuidade,Pública
2418,Facilidade de acesso,Pública
2419,Qualidade/reputação,Pública
2421,Qualidade/reputação,Pública
2422,Gratuidade,Pública
2423,Gratuidade,Pública
2424,Gratuidade,Pública
2425,Outro motivo,Pública
2426,Gratuidade,Pública
2428,Qualidade/reputação,Pública
2429,Gratuidade,Pública
2430,Gratuidade,Pública
2431,Proximidade da minha residência,Pública
2432,Gratuidade,Pública
2435,Qualidade/reputação,Pública
2436,Proximidade da minha residência,Pública
2437,Gratuidade,Pública
2438,Gratuidade,Pública
2439,Qualidade/reputação,Pública
2440,Gratuidade,Pública
2441,Proximidade da minha residência,Pública
2442,Gratuidade,Pública
2443,Gratuidade,Pública
2444,Qualidade/reputação,Pública
2445,Proximidade da minha residência,Pública
2446,Gratuidade,Pública
2447,Proximidade da minha residência,Pública
2448,Qualidade/reputação,Pública
2449,Gratuidade,Pública
2450,Qualidade/reputação,Pública
2451,Gratuidade,Pública
2452,Gratuidade,Pública
2453,Gratuidade,Pública
2454,Qualidade/reputação,Pública
2455,Gratuidade,Pública
2456,Gratuidade,Pública
2457,Qualidade/reputação,Pública
2458,Outro motivo,Pública
2459,Gratuidade,Pública
2460,Gratuidade,Pública
2461,Gratuidade,Pública
2462,Gratuidade,Pública
2463,Qualidade/reputação,Pública
2464,Outro motivo,Pública
2465,Gratuidade,Pública
2466,Qualidade/reputação,Pública
2467,Gratuidade,Pública
2468,Gratuidade,Pública
2469,NA,Pública
2470,Gratuidade,Pública
2471,Qualidade/reputação,Pública
2473,Qualidade/reputação,Pública
2474,Gratuidade,Pública
2475,Qualidade/reputação,Pública
2476,Outro motivo,Pública
2477,Gratuidade,Pública
2478,Qualidade/reputação,Pública
2479,Proximidade da minha residência,Pública
2480,Qualidade/reputação,Pública
2481,Gratuidade,Pública
2482,Qualidade/reputação,Pública
2483,Gratuidade,Pública
2484,Gratuidade,Pública
2485,Outro motivo,Pública
2487,Qualidade/reputação,Pública
2488,Qualidade/reputação,Pública
2489,Outro motivo,Pública
2490,Qualidade/reputação,Pública
2491,Qualidade/reputação,Pública
2492,Qualidade/reputação,Pública
2493,Qualidade/reputação,Pública
2494,Qualidade/reputação,Pública
2495,Qualidade/reputação,Pública
2496,Qualidade/reputação,Pública
2497,Qualidade/reputação,Pública
2498,Qualidade/reputação,Pública
2499,Qualidade/reputação,Pública
2500,Qualidade/reputação,Pública
2501,Qualidade/reputação,Pública
2502,Gratuidade,Pública
2503,Qualidade/reputação,Pública
2504,Qualidade/reputação,Pública
2505,Qualidade/reputação,Pública
2506,Qualidade/reputação,Pública
2507,Qualidade/reputação,Pública
2508,Proximidade da minha residência,Pública
2509,Qualidade/reputação,Pública
2510,Qualidade/reputação,Pública
2511,Qualidade/reputação,Pública
2512,Qualidade/reputação,Pública
2513,Qualidade/reputação,Pública
2514,Qualidade/reputação,Pública
2515,Gratuidade,Pública
2516,Gratuidade,Pública
2517,Qualidade/reputação,Pública
2518,Qualidade/reputação,Pública
2519,Qualidade/reputação,Pública
2520,Qualidade/reputação,Pública
2521,Facilidade de acesso,Pública
2522,Qualidade/reputação,Pública
2523,Qualidade/reputação,Pública
2524,Qualidade/reputação,Pública
2526,Qualidade/reputação,Pública
2527,Qualidade/reputação,Pública
2528,Qualidade/reputação,Pública
2529,Proximidade da minha residência,Pública
2530,Outro motivo,Pública
2531,Qualidade/reputação,Pública
2532,Qualidade/reputação,Pública
2533,Qualidade/reputação,Pública
2534,Qualidade/reputação,Pública
2535,Qualidade/reputação,Pública
2536,Qualidade/reputação,Pública
2537,Qualidade/reputação,Pública
2538,Qualidade/reputação,Pública
2539,Qualidade/reputação,Pública
2540,Qualidade/reputação,Pública
2541,Qualidade/reputação,Pública
2542,Qualidade/reputação,Pública
2543,Qualidade/reputação,Pública
2544,Qualidade/reputação,Pública
2545,Qualidade/reputação,Pública
2546,Qualidade/reputação,Pública
2547,Qualidade/reputação,Pública
2548,Gratuidade,Pública
2549,Proximidade da minha residência,Pública
2550,Qualidade/reputação,Pública
2551,Gratuidade,Pública
2552,Qualidade/reputação,Pública
2553,Qualidade/reputação,Pública
2554,Qualidade/reputação,Pública
2555,Gratuidade,Pública
2556,Gratuidade,Pública
2557,Gratuidade,Pública
2558,Proximidade da minha residência,Pública
2559,Qualidade/reputação,Pública
2560,Qualidade/reputação,Pública
2561,Gratuidade,Pública
2562,Qualidade/reputação,Pública
2563,Qualidade/reputação,Pública
2564,Gratuidade,Pública
2565,Qualidade/reputação,Pública
2566,Qualidade/reputação,Pública
2567,Proximidade da minha residência,Pública
2568,Qualidade/reputação,Pública
2569,Qualidade/reputação,Pública
2570,Outro motivo,Pública
2571,Qualidade/reputação,Pública
2572,Qualidade/reputação,Pública
2573,Qualidade/reputação,Pública
2574,Qualidade/reputação,Pública
2575,Qualidade/reputação,Pública
2576,Qualidade/reputação,Pública
2577,Qualidade/reputação,Pública
2578,Qualidade/reputação,Pública
2579,Qualidade/reputação,Pública
2580,Gratuidade,Pública
2581,Qualidade/reputação,Pública
2582,Qualidade/reputação,Pública
2583,Proximidade da minha residência,Pública
2584,Outro motivo,Pública
2585,Qualidade/reputação,Pública
2586,NA,Pública
2587,Qualidade/reputação,Pública
2588,Qualidade/reputação,Pública
2589,Qualidade/reputação,Pública
2590,Qualidade/reputação,Pública
2591,Qualidade/reputação,Pública
2592,Qualidade/reputação,Pública
2593,Gratuidade,Pública
2594,Qualidade/reputação,Pública
2595,Qualidade/reputação,Pública
2596,Qualidade/reputação,Pública
2597,Qualidade/reputação,Pública
2598,Qualidade/reputação,Pública
2599,Qualidade/reputação,Pública
2600,Qualidade/reputação,Pública
2601,Gratuidade,Pública
2602,Facilidade de acesso,Pública
2603,Qualidade/reputação,Pública
2604,Qualidade/reputação,Pública
2605,Qualidade/reputação,Pública
2606,Qualidade/reputação,Pública
2607,Outro motivo,Pública
2608,Qualidade/reputação,Pública
2609,Qualidade/reputação,Pública
2610,Qualidade/reputação,Pública
2611,Qualidade/reputação,Pública
2612,Gratuidade,Pública
2613,Qualidade/reputação,Pública
2614,Proximidade da minha residência,Pública
2615,Qualidade/reputação,Pública
2616,Qualidade/reputação,Pública
2617,Gratuidade,Pública
2618,Qualidade/reputação,Pública
2619,Gratuidade,Pública
2620,Qualidade/reputação,Pública
2621,Gratuidade,Pública
2622,Gratuidade,Pública
2623,Qualidade/reputação,Pública
2624,Gratuidade,Pública
2626,Qualidade/reputação,Pública
2628,NA,Pública
2630,Qualidade/reputação,Pública
2631,Qualidade/reputação,Pública
2632,Qualidade/reputação,Pública
2633,Qualidade/reputação,Pública
2634,Qualidade/reputação,Pública
2635,Gratuidade,Pública
2636,Qualidade/reputação,Pública
2637,Proximidade da minha residência,Pública
2638,Qualidade/reputação,Pública
2640,Qualidade/reputação,Pública
2641,Gratuidade,Pública
2642,Qualidade/reputação,Pública
2643,Qualidade/reputação,Pública
2644,Proximidade da minha residência,Pública
2645,Proximidade da minha residência,Pública
2646,Qualidade/reputação,Pública
2647,Proximidade da minha residência,Pública
2648,Qualidade/reputação,Pública
2649,Qualidade/reputação,Pública
2650,Qualidade/reputação,Pública
2651,Qualidade/reputação,Pública
2652,Proximidade da minha residência,Pública
2653,Qualidade/reputação,Pública
2654,Facilidade de acesso,Pública
2655,Qualidade/reputação,Pública
2656,Qualidade/reputação,Pública
2657,Gratuidade,Pública
2660,Gratuidade,Pública
2661,Qualidade/reputação,Pública
2662,Qualidade/reputação,Pública
2663,Qualidade/reputação,Pública
2664,Gratuidade,Pública
2665,Qualidade/reputação,Pública
2666,Gratuidade,Pública
2667,Qualidade/reputação,Pública
2668,Qualidade/reputação,Pública
2669,Qualidade/reputação,Pública
2670,Qualidade/reputação,Pública
2671,Qualidade/reputação,Pública
2672,Gratuidade,Pública
2673,Gratuidade,Pública
2674,Gratuidade,Pública
2675,Qualidade/reputação,Pública
2676,Gratuidade,Pública
2677,Gratuidade,Pública
2678,Outro motivo,Pública
2679,Qualidade/reputação,Pública
2680,Proximidade da minha residência,Pública
2681,Qualidade/reputação,Pública
2682,Proximidade da minha residência,Pública
2683,Qualidade/reputação,Pública
2684,Gratuidade,Pública
2685,Proximidade da minha residência,Pública
2686,Gratuidade,Pública
2687,Qualidade/reputação,Pública
2688,Proximidade da minha residência,Pública
2689,Gratuidade,Pública
2691,Qualidade/reputação,Pública
2692,Gratuidade,Pública
2693,Qualidade/reputação,Pública
2694,Qualidade/reputação,Pública
2695,Qualidade/reputação,Pública
2696,Gratuidade,Pública
2697,Qualidade/reputação,Pública
2698,Gratuidade,Pública
2699,Qualidade/reputação,Pública
2700,Qualidade/reputação,Pública
2701,Qualidade/reputação,Pública
2702,Qualidade/reputação,Pública
2703,Gratuidade,Pública
2704,Proximidade da minha residência,Pública
2705,Gratuidade,Pública
2706,Gratuidade,Pública
2707,Gratuidade,Pública
2709,Gratuidade,Pública
2711,Gratuidade,Pública
2712,Gratuidade,Pública
2714,Qualidade/reputação,Pública
2715,Gratuidade,Pública
2716,Qualidade/reputação,Pública
2717,Gratuidade,Pública
2718,Qualidade/reputação,Pública
2719,Gratuidade,Pública
2720,Outro motivo,Pública
2721,Qualidade/reputação,Pública
2722,Qualidade/reputação,Pública
2723,Qualidade/reputação,Pública
2724,Gratuidade,Pública
2725,Gratuidade,Pública
2726,Gratuidade,Pública
2727,Gratuidade,Pública
2728,Gratuidade,Pública
2729,Gratuidade,Pública
2730,Gratuidade,Pública
2731,Gratuidade,Pública
2732,Gratuidade,Pública
2733,Proximidade da minha residência,Pública
2734,Gratuidade,Pública
2735,Qualidade/reputação,Pública
2736,Qualidade/reputação,Pública
2737,Facilidade de acesso,Pública
2738,Proximidade da minha residência,Pública
2739,Qualidade/reputação,Pública
2740,Qualidade/reputação,Pública
2741,Qualidade/reputação,Pública
2742,Qualidade/reputação,Pública
2743,Qualidade/reputação,Pública
2744,Foi a única onde tive aprovação,Pública
2745,Qualidade/reputação,Pública
2746,Qualidade/reputação,Pública
2747,Qualidade/reputação,Pública
2748,Qualidade/reputação,Pública
2749,Proximidade da minha residência,Pública
2750,Qualidade/reputação,Pública
2751,Proximidade da minha residência,Pública
2752,Gratuidade,Pública
2754,Gratuidade,Pública
2755,Qualidade/reputação,Pública
2756,Qualidade/reputação,Pública
2757,Proximidade da minha residência,Pública
2758,Qualidade/reputação,Pública
2759,Gratuidade,Pública
2760,Qualidade/reputação,Pública
2761,Qualidade/reputação,Pública
2762,Qualidade/reputação,Pública
2763,Qualidade/reputação,Pública
2764,Qualidade/reputação,Pública
2765,Qualidade/reputação,Pública
2766,Qualidade/reputação,Pública
2767,Qualidade/reputação,Pública
2768,Foi a única onde tive aprovação,Pública
2769,Qualidade/reputação,Pública
2770,Foi a única onde tive aprovação,Pública
2771,Proximidade da minha residência,Pública
2772,Proximidade da minha residência,Pública
2773,Qualidade/reputação,Pública
2774,Gratuidade,Pública
2775,Proximidade da minha residência,Pública
2776,Qualidade/reputação,Pública
2777,Foi a única onde tive aprovação,Pública
2778,Qualidade/reputação,Pública
2779,Qualidade/reputação,Pública
2780,Proximidade da minha residência,Pública
2781,Gratuidade,Pública
2782,Gratuidade,Pública
2783,Gratuidade,Pública
2784,Gratuidade,Pública
2785,Gratuidade,Pública
2786,Outro motivo,Pública
2787,Gratuidade,Pública
2788,Gratuidade,Pública
2789,Qualidade/reputação,Pública
2790,Qualidade/reputação,Pública
2791,Gratuidade,Pública
2792,Gratuidade,Pública
2793,Qualidade/reputação,Pública
2794,Gratuidade,Pública
2795,Proximidade da minha residência,Pública
2796,Gratuidade,Pública
2797,Gratuidade,Pública
2798,Gratuidade,Pública
2799,Proximidade da minha residência,Pública
2800,Qualidade/reputação,Pública
2801,Foi a única onde tive aprovação,Pública
2802,Foi a única onde tive aprovação,Pública
2804,Qualidade/reputação,Pública
2805,Qualidade/reputação,Pública
2806,Qualidade/reputação,Pública
2807,Gratuidade,Pública
2808,Qualidade/reputação,Pública
2809,Qualidade/reputação,Pública
2811,Gratuidade,Pública
2812,Qualidade/reputação,Pública
2813,Proximidade da minha residência,Pública
2814,Qualidade/reputação,Pública
2815,Proximidade da minha residência,Pública
2816,Qualidade/reputação,Pública
2817,Proximidade da minha residência,Pública
2818,Gratuidade,Pública
2819,Gratuidade,Pública
2820,Qualidade/reputação,Pública
2821,Qualidade/reputação,Pública
2822,Qualidade/reputação,Pública
2823,Qualidade/reputação,Pública
2824,Qualidade/reputação,Pública
2825,Outro motivo,Pública
2826,Gratuidade,Pública
2827,Qualidade/reputação,Pública
2828,Proximidade da minha residência,Pública
2829,Proximidade da minha residência,Pública
2830,Gratuidade,Pública
2832,Qualidade/reputação,Pública
2833,Proximidade da minha residência,Pública
2834,Qualidade/reputação,Pública
2835,Qualidade/reputação,Pública
2836,Gratuidade,Pública
2837,Qualidade/reputação,Pública
2839,Outro motivo,Pública
2840,Gratuidade,Pública
2841,Qualidade/reputação,Pública
2842,Qualidade/reputação,Pública
2844,Gratuidade,Pública
2845,Qualidade/reputação,Pública
2846,Qualidade/reputação,Pública
2847,Qualidade/reputação,Pública
2848,Gratuidade,Pública
2849,Outro motivo,Pública
2850,Qualidade/reputação,Pública
2851,Qualidade/reputação,Pública
2852,Qualidade/reputação,Pública
2853,Proximidade da minha residência,Pública
2854,Qualidade/reputação,Pública
2855,Qualidade/reputação,Pública
2856,Proximidade da minha residência,Pública
2857,Foi a única onde tive aprovação,Pública
2858,Qualidade/reputação,Pública
2860,Gratuidade,Pública
2861,Gratuidade,Pública
2862,Qualidade/reputação,Pública
2864,Gratuidade,Pública
2865,Outro motivo,Pública
2866,Qualidade/reputação,Pública
2867,Gratuidade,Pública
2869,Gratuidade,Pública
2870,Gratuidade,Pública
2871,Gratuidade,Pública
2872,Qualidade/reputação,Pública
2873,Qualidade/reputação,Pública
2874,Gratuidade,Pública
2875,Qualidade/reputação,Pública
2876,Proximidade da minha residência,Pública
2877,Gratuidade,Pública
2878,Gratuidade,Pública
2879,Qualidade/reputação,Pública
2880,Qualidade/reputação,Pública
2881,Gratuidade,Pública
2882,Qualidade/reputação,Pública
2883,Outro motivo,Pública
2884,Proximidade da minha residência,Pública
2885,Qualidade/reputação,Pública
2886,Gratuidade,Pública
2887,Gratuidade,Pública
2888,Proximidade da minha residência,Pública
2889,Proximidade da minha residência,Pública
2890,Gratuidade,Pública
2891,Outro motivo,Pública
2892,Qualidade/reputação,Pública
2893,Gratuidade,Pública
2894,Gratuidade,Pública
2895,Qualidade/reputação,Pública
2896,Gratuidade,Pública
2897,Qualidade/reputação,Pública
2898,Qualidade/reputação,Pública
2899,Gratuidade,Pública
2900,Proximidade da minha residência,Pública
2901,Proximidade da minha residência,Pública
2902,Gratuidade,Pública
2903,Qualidade/reputação,Pública
2904,Gratuidade,Pública
2905,Qualidade/reputação,Pública
2906,Proximidade da minha residência,Pública
2907,Outro motivo,Pública
2908,Gratuidade,Pública
2909,Qualidade/reputação,Pública
