id,A,B,C,D,E,F,G,H,I,J,K,L,Categoria
106,5,5,5,6,6,6,5,6,5,5,3,6,6,Privada
107,3,5,6,5,5,3,3,5,3,5,3,4,2,Privada
108,6,6,6,6,6,6,5,5,5,6,4,6,6,Privada
109,6,6,5,6,4,6,6,6,5,6,6,6,6,Privada
110,5,5,5,4,4,5,3,5,4,5,6,6,5,Pública
111,5,NA,5,6,6,NA,4,6,6,5,6,5,6,Pública
112,6,5,5,5,5,6,6,6,5,6,5,6,6,Pública
113,5,5,5,5,4,5,2,5,6,3,5,5,6,Pública
114,3,4,5,5,3,5,3,5,4,5,5,5,5,Pública
116,6,6,5,6,5,6,4,5,5,6,6,5,5,Pública
117,5,1,6,4,4,5,6,6,6,6,6,6,6,Pública
118,6,6,6,6,NA,6,5,6,5,6,5,6,6,Pública
119,5,2,6,4,4,4,4,5,5,5,4,5,5,Pública
120,6,5,5,6,5,6,6,6,5,5,6,6,6,Pública
121,6,5,6,6,6,6,6,5,6,6,6,6,6,Pública
122,4,NA,4,1,1,NA,NA,4,1,6,6,4,4,Pública
123,6,6,6,6,6,6,6,6,6,6,6,6,6,Pública
124,6,5,6,3,5,5,6,5,6,6,4,4,5,Pública
125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pública
126,4,1,5,6,5,5,5,4,5,5,5,6,4,Pública
127,5,NA,4,NA,5,4,3,4,4,5,4,4,4,Pública
128,6,6,6,5,6,6,6,6,5,6,6,6,6,Pública
129,5,5,6,6,6,6,3,5,5,5,6,6,6,Pública
130,3,6,NA,3,NA,3,4,2,2,4,2,3,2,Pública
131,3,4,5,3,5,5,5,6,4,6,6,6,5,Pública
132,6,6,4,5,5,5,3,5,4,5,3,5,3,Pública
133,6,NA,3,4,NA,6,4,4,4,6,4,6,6,Pública
134,4,3,6,6,6,5,5,6,6,6,6,5,5,Pública
135,2,3,5,2,2,3,3,3,2,6,4,4,3,Pública
136,6,NA,6,NA,5,6,6,6,6,6,6,6,5,Pública
138,6,6,6,4,6,1,1,1,5,3,1,4,1,Pública
139,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,6,Pública
140,6,6,6,5,6,6,6,6,5,6,6,6,6,Pública
141,6,6,6,3,5,5,5,5,6,6,5,6,5,Pública
142,5,5,5,5,5,6,6,6,4,6,5,6,NA,Pública
143,4,5,4,3,2,3,4,4,3,4,4,5,4,Pública
144,6,6,6,4,NA,5,4,6,4,6,6,5,6,Pública
145,5,5,4,1,5,5,3,4,4,5,5,3,5,Pública
146,3,NA,3,NA,NA,NA,3,6,5,6,6,6,6,Pública
147,1,1,1,4,2,4,3,2,1,4,4,1,3,Pública
148,6,6,6,6,6,6,6,6,6,4,6,6,3,Pública
149,4,4,2,4,4,4,3,5,3,4,4,6,4,Pública
150,5,NA,NA,5,5,5,5,6,5,5,5,6,6,Pública
151,6,1,3,4,2,6,2,6,3,6,5,6,5,Pública
153,4,4,5,5,4,5,5,5,5,5,4,5,5,Pública
154,6,4,5,5,5,5,3,4,4,4,4,6,4,Pública
155,5,5,5,5,5,5,5,6,5,4,3,5,4,Pública
156,5,NA,3,2,4,4,2,4,3,4,3,4,6,Pública
157,3,3,2,2,2,3,3,3,3,3,3,3,2,Pública
158,4,NA,5,1,3,5,5,5,3,5,6,5,6,Pública
159,6,5,4,4,1,4,3,5,5,5,4,5,5,Pública
160,6,6,6,6,6,6,6,6,6,6,6,6,6,Pública
161,5,5,5,5,5,5,5,5,5,5,5,5,5,Pública
162,4,4,4,4,4,4,4,4,4,5,4,4,5,Pública
163,4,3,4,NA,3,5,4,5,5,6,5,5,6,Pública
164,5,NA,5,NA,NA,6,5,NA,5,5,4,4,5,Pública
165,4,2,2,3,NA,2,3,NA,2,3,3,3,3,Pública
166,4,4,4,4,4,4,4,4,4,3,4,4,5,Pública
167,4,3,3,3,4,4,4,4,4,4,3,4,4,Pública
168,5,4,4,5,4,4,4,4,4,4,5,5,6,Pública
169,6,6,6,6,5,6,4,5,5,5,5,5,6,Pública
170,6,4,5,3,2,3,5,4,4,4,3,4,4,Pública
171,6,NA,6,5,4,5,5,6,6,6,6,5,6,Pública
173,6,6,6,6,6,6,6,6,6,6,6,6,6,Pública
174,5,NA,4,3,3,5,5,3,4,3,5,3,4,Pública
176,4,1,5,5,5,5,5,5,3,4,5,5,5,Pública
177,5,6,5,5,6,6,5,5,5,6,6,5,5,Pública
178,6,6,6,5,5,5,4,4,5,5,4,4,5,Pública
180,3,4,4,3,2,4,3,3,3,NA,NA,1,1,Pública
181,5,6,5,6,5,5,5,5,4,5,6,6,5,Pública
182,5,5,5,6,4,5,4,5,5,5,4,4,4,Pública
183,6,1,6,1,1,3,3,6,5,5,4,3,3,Pública
184,4,3,4,4,3,4,4,4,4,5,5,4,4,Pública
185,6,6,6,5,5,5,5,5,6,4,5,5,5,Pública
186,3,3,2,2,2,3,3,3,2,4,4,3,3,Pública
187,5,4,3,3,3,3,3,5,3,4,4,4,4,Pública
188,5,3,6,3,3,3,3,3,5,5,5,5,4,Pública
189,1,1,NA,1,1,4,1,5,1,3,3,3,3,Pública
190,3,2,3,3,3,3,3,3,3,4,5,4,4,Pública
191,4,5,6,5,3,4,4,4,5,4,3,4,4,Pública
192,6,5,6,6,NA,5,3,6,6,4,5,5,5,Pública
193,6,6,6,6,5,5,5,5,6,4,5,5,5,Pública
194,6,NA,6,6,6,6,5,6,6,6,6,6,6,Pública
195,NA,NA,NA,4,NA,NA,3,5,4,4,4,4,4,Pública
196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pública
197,5,5,5,5,5,5,5,5,5,5,5,5,5,Pública
198,5,4,3,5,4,4,4,3,5,5,4,5,2,Pública
200,4,3,4,4,4,5,3,5,5,5,4,3,3,Pública
201,6,4,5,5,2,3,6,6,6,5,6,3,5,Pública
204,5,3,5,4,1,1,2,4,4,4,4,5,3,Pública
207,6,6,NA,NA,NA,6,6,NA,6,NA,6,NA,NA,Pública
208,5,3,3,2,4,4,4,4,3,4,4,6,4,Pública
210,4,NA,5,4,3,4,4,5,4,5,5,5,4,Pública
211,3,3,4,3,3,3,3,4,3,4,2,3,3,Pública
214,6,6,6,5,6,6,6,6,5,NA,6,6,5,Pública
217,4,4,4,6,4,5,4,4,5,4,4,5,5,Pública
218,5,4,4,2,4,4,3,4,4,4,4,5,5,Pública
223,4,5,3,5,5,5,4,5,4,6,5,5,6,Pública
225,4,4,5,6,1,4,3,4,6,5,3,4,6,Pública
226,5,3,6,4,4,4,5,6,3,6,5,5,6,Pública
228,5,5,4,5,NA,4,4,5,5,5,4,5,5,Pública
229,6,6,5,6,6,6,6,4,6,6,6,6,6,Pública
230,6,5,5,5,5,5,5,4,6,5,5,5,5,Pública
231,6,6,5,4,6,6,6,6,6,6,5,6,4,Pública
233,6,6,6,6,6,6,5,6,6,6,6,6,6,Pública
234,2,2,2,1,1,NA,4,4,3,5,5,5,6,Pública
235,4,2,3,3,3,3,3,4,4,4,3,4,4,Pública
