id,A,B,C,D,E,F,G,H,I,J,K,L,Categoria
1556,3,2,5,5,5,5,4,4,5,5,4,4,4,Pública
1557,4,5,3,3,3,4,3,4,2,3,3,4,5,Pública
1558,5,3,5,4,5,5,4,5,3,3,5,5,4,Pública
1559,3,NA,NA,4,6,6,5,6,1,6,5,6,4,Pública
1561,5,6,5,6,6,6,5,6,5,5,6,6,4,Pública
1562,3,4,2,5,5,5,5,5,4,6,5,6,5,Pública
1563,6,5,6,5,6,6,4,6,4,6,5,6,5,Pública
1564,5,6,4,6,5,6,5,4,5,6,6,6,6,Pública
1565,2,2,2,2,3,2,2,4,1,4,5,4,1,Pública
1566,5,3,5,5,4,5,3,5,3,3,5,4,3,Pública
1567,5,NA,4,6,3,NA,2,3,6,NA,1,2,NA,Pública
1568,6,NA,6,6,5,6,5,5,5,5,5,5,5,Pública
1569,5,4,4,4,4,4,5,5,4,5,5,5,5,Pública
1570,5,6,6,4,6,6,6,6,2,6,6,6,6,Pública
1571,5,4,4,4,5,5,4,6,4,5,6,5,6,Pública
1572,5,4,5,5,5,5,1,5,4,6,6,6,6,Pública
1573,5,4,5,4,5,6,5,6,5,6,6,4,5,Pública
1574,3,2,5,5,1,5,2,6,3,5,5,6,4,Pública
1575,5,5,5,6,3,5,6,5,5,5,5,6,5,Pública
1576,4,4,4,5,3,6,4,6,5,5,5,6,5,Pública
1577,5,NA,4,5,5,4,5,6,4,4,5,5,4,Pública
1578,4,1,3,2,5,3,4,3,2,6,5,5,5,Pública
1579,4,4,5,6,5,6,6,6,5,6,6,6,6,Pública
1580,6,6,6,4,6,6,6,6,6,6,6,6,6,Pública
1581,6,4,1,1,3,5,4,4,5,4,5,5,6,Pública
1582,2,3,3,3,1,3,3,5,5,5,3,4,3,Pública
1583,4,2,1,1,4,3,4,5,3,5,5,5,5,Pública
1584,NA,NA,4,3,NA,5,3,5,4,4,3,5,4,Pública
1585,4,NA,5,4,3,5,4,5,6,5,4,5,6,Pública
1586,5,NA,6,6,5,6,4,5,6,5,5,6,5,Pública
1587,6,NA,6,4,6,6,6,5,6,5,5,5,5,Pública
1589,6,NA,2,3,5,5,2,5,5,4,4,5,3,Pública
1590,6,6,NA,6,NA,4,5,5,6,5,4,5,5,Pública
1591,5,5,6,4,4,6,5,6,6,6,5,4,4,Pública
1592,4,6,5,5,4,6,5,6,5,6,6,6,6,Pública
1593,5,6,5,5,5,5,4,5,5,6,5,5,4,Pública
1594,4,4,6,5,3,4,2,3,5,3,2,2,2,Pública
1595,5,3,5,5,5,5,3,6,5,5,4,6,4,Pública
1596,6,6,6,6,6,6,5,5,6,5,5,6,6,Pública
1597,6,6,6,6,6,6,1,6,6,6,6,6,6,Pública
1598,5,2,5,5,5,5,5,5,5,6,5,5,5,Pública
1599,4,4,4,4,4,4,4,5,4,5,5,5,5,Pública
1600,4,3,4,4,3,4,3,4,4,4,4,4,3,Pública
1601,5,NA,NA,4,5,6,5,6,6,5,6,5,4,Pública
1602,6,6,6,4,6,5,5,5,6,4,4,5,5,Pública
1603,5,1,4,1,3,5,5,4,5,5,5,6,6,Pública
1604,4,NA,4,5,4,4,2,5,5,6,3,5,5,Pública
1605,1,2,NA,3,5,5,5,4,2,2,3,5,5,Pública
1606,4,4,5,5,5,5,4,5,5,5,6,4,4,Pública
1607,6,NA,6,6,NA,6,6,6,6,6,6,6,6,Pública
1608,1,3,6,6,2,6,5,6,6,4,4,5,6,Pública
1609,2,NA,NA,5,NA,5,2,5,6,4,6,6,3,Pública
1610,5,NA,6,6,6,6,2,6,6,6,4,6,6,Pública
1611,6,NA,6,2,6,6,5,5,5,6,5,5,5,Pública
1612,3,3,4,4,4,4,4,4,3,4,4,4,4,Pública
1613,5,5,5,6,6,6,5,5,6,6,6,6,5,Pública
1614,5,4,5,6,5,5,5,5,6,5,6,5,5,Pública
1615,4,NA,5,5,5,5,5,4,5,6,5,5,5,Pública
1616,5,NA,4,6,6,6,4,6,6,6,6,4,4,Pública
1617,5,NA,NA,NA,4,5,5,4,4,5,5,5,6,Pública
1618,5,3,5,5,5,5,5,4,5,6,6,5,5,Pública
1619,5,3,6,6,6,6,3,6,6,6,5,5,6,Pública
1620,4,3,6,6,6,6,4,4,6,6,NA,5,6,Pública
1621,3,NA,3,3,2,5,3,6,4,5,3,5,4,Pública
1623,5,NA,NA,3,1,5,3,5,4,4,4,5,4,Pública
1624,5,4,5,5,4,5,5,5,6,6,5,6,4,Pública
1625,5,4,5,6,5,6,4,6,6,6,6,6,5,Pública
1626,5,5,5,5,4,6,6,5,5,5,5,5,6,Pública
1627,5,1,NA,5,6,6,5,4,4,6,4,6,5,Pública
1628,4,4,4,4,4,4,5,3,4,4,5,5,5,Pública
1629,3,5,4,4,4,5,5,4,4,4,6,5,4,Pública
1630,3,6,6,4,4,5,4,NA,5,2,6,3,3,Pública
1631,5,4,6,4,6,6,4,4,4,6,6,6,6,Pública
1632,5,4,5,5,3,5,5,5,6,5,5,5,6,Pública
1633,6,NA,5,6,6,6,6,5,5,5,5,6,5,Pública
1634,6,6,5,6,6,6,6,6,6,6,6,6,6,Pública
1635,1,4,1,1,3,3,2,5,4,3,2,3,2,Pública
1636,5,5,5,4,5,5,4,5,5,6,4,4,4,Pública
1637,6,6,6,6,6,6,6,NA,6,6,6,6,6,Pública
1638,5,5,5,5,5,6,4,5,5,5,6,6,6,Pública
1639,4,2,4,3,NA,4,4,3,3,5,6,3,5,Pública
1640,3,2,NA,2,NA,2,2,5,3,NA,3,4,3,Pública
1641,5,4,1,1,NA,NA,4,5,3,5,6,6,5,Pública
1642,5,4,5,5,4,6,4,5,4,6,6,5,5,Pública
1644,4,NA,3,1,3,6,NA,5,1,6,6,5,4,Pública
1645,5,2,1,1,2,5,NA,4,1,6,3,6,6,Pública
1646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pública
1647,6,6,5,6,6,6,5,6,5,6,6,6,6,Pública
1648,5,4,5,4,5,6,6,5,4,6,5,5,5,Pública
1649,3,4,5,4,4,4,5,5,6,6,5,5,5,Pública
1650,5,5,5,4,NA,6,3,6,6,6,6,6,5,Pública
1651,1,1,1,1,2,1,NA,2,2,2,3,2,3,Pública
1653,2,5,5,5,5,6,5,6,6,6,6,6,6,Pública
1654,6,5,5,5,5,5,5,5,5,6,6,4,4,Pública
1655,5,4,5,5,5,5,4,5,3,3,5,4,5,Pública
1656,6,6,5,6,6,6,5,5,6,6,5,5,5,Pública
1657,5,5,5,6,6,6,2,6,5,6,6,6,4,Pública
1658,5,1,3,3,5,5,NA,5,4,5,5,5,3,Pública
1661,3,2,3,2,2,2,2,4,2,4,4,4,2,Pública
1662,4,NA,6,6,6,6,6,6,6,6,6,6,6,Pública
1663,5,NA,5,4,4,5,5,5,6,6,6,5,5,Pública
1664,5,4,4,4,3,6,3,5,5,5,5,5,5,Pública
1665,6,5,6,5,5,6,6,6,5,6,6,6,6,Pública
1666,5,5,5,5,5,5,6,5,5,5,6,6,5,Pública
1667,5,1,3,3,5,5,2,3,3,3,5,5,4,Pública
1668,4,5,2,4,5,6,5,6,4,5,6,6,6,Pública
1669,6,6,6,6,NA,6,1,6,6,6,6,6,NA,Pública
1670,4,NA,4,3,3,5,4,4,4,5,4,3,2,Pública
1671,3,2,5,5,5,3,4,6,2,5,3,4,5,Pública
1672,4,4,5,5,6,6,3,6,4,6,4,5,6,Pública
1673,5,6,5,5,5,6,5,6,6,4,6,6,NA,Pública
1674,6,1,5,5,3,5,5,6,6,6,5,5,5,Pública
1675,5,NA,5,5,6,6,5,6,5,6,6,6,6,Pública
1676,5,5,5,5,5,5,5,5,5,5,5,6,5,Pública
1677,5,NA,6,6,4,6,4,5,6,6,5,6,5,Pública
1678,6,6,6,5,6,6,6,6,2,6,6,6,6,Pública
1679,6,6,6,5,6,6,5,6,5,6,6,5,5,Pública
1680,5,4,5,4,5,5,3,3,5,6,4,5,6,Pública
1681,6,5,6,6,6,5,4,6,6,6,6,5,6,Pública
1682,5,6,5,4,5,6,5,6,5,6,6,6,6,Pública
1683,5,6,6,5,6,6,4,6,6,6,6,6,6,Pública
1684,6,6,6,6,6,6,6,6,6,6,6,6,6,Pública
1685,5,6,6,4,4,6,4,6,6,4,5,5,3,Pública
1686,5,5,5,3,5,5,3,5,5,6,6,4,3,Pública
1687,4,5,6,4,4,6,6,6,6,6,6,6,6,Pública
1688,6,NA,5,6,5,6,4,4,5,5,5,5,5,Pública
1689,3,NA,6,4,4,6,3,6,4,5,6,6,6,Pública
1690,4,NA,5,4,6,6,5,5,5,5,5,5,5,Pública
1691,3,5,5,5,3,6,6,5,4,6,6,6,6,Pública
1692,4,5,4,4,5,5,5,5,4,5,5,5,5,Pública
1693,6,6,6,6,6,6,6,6,6,6,6,6,6,Pública
1694,3,NA,4,3,4,6,5,5,2,6,6,6,6,Pública
1695,4,4,3,4,3,5,5,5,4,5,3,4,4,Pública
1696,6,NA,6,6,6,6,5,6,6,6,5,6,6,Pública
1697,NA,NA,2,1,3,3,3,2,3,3,3,3,4,Pública
1698,6,NA,5,3,6,5,5,6,5,5,6,5,5,Pública
1699,6,6,6,5,6,6,4,6,5,6,6,6,6,Pública
1700,5,NA,5,5,5,6,5,5,5,6,5,5,5,Pública
1701,3,3,NA,1,2,4,2,4,3,3,3,2,2,Pública
1702,5,5,4,5,5,6,5,5,4,6,6,5,6,Pública
1703,4,6,4,6,6,6,4,5,6,6,4,5,5,Pública
1704,5,2,NA,6,5,6,5,6,5,6,6,6,6,Pública
1705,6,6,6,6,6,6,5,6,6,6,6,6,5,Pública
1706,6,5,6,5,6,6,5,5,6,6,6,5,6,Pública
1707,4,3,4,3,5,6,5,5,4,6,6,5,5,Pública
1708,5,3,6,4,4,5,5,6,6,6,5,3,6,Pública
1709,6,6,6,6,6,6,6,5,6,6,5,5,6,Pública
1710,4,5,6,5,NA,5,4,3,4,5,4,4,3,Pública
1711,5,5,4,5,5,5,5,5,5,5,5,4,5,Pública
1712,3,1,NA,2,2,6,4,6,3,4,3,4,4,Pública
1713,4,5,NA,4,4,4,4,6,5,6,5,5,4,Pública
1714,3,4,5,4,4,6,3,4,5,5,5,5,5,Pública
1715,5,NA,6,5,5,6,4,5,5,5,6,5,4,Pública
1716,4,NA,4,4,4,5,4,5,5,6,5,5,4,Pública
1717,5,4,NA,4,3,5,3,5,5,5,6,5,5,Pública
1718,3,1,6,3,6,6,6,6,6,6,6,6,6,Pública
1719,4,NA,5,5,4,4,4,5,6,6,6,5,5,Pública
1720,5,NA,5,5,4,6,5,6,4,6,5,5,6,Pública
1721,5,5,5,4,3,6,5,6,3,6,6,6,6,Pública
1722,3,1,4,3,3,6,3,5,2,4,6,5,4,Pública
1723,5,NA,6,6,5,5,5,5,5,6,6,5,5,Pública
1724,5,NA,5,3,5,6,6,5,3,6,5,5,5,Pública
1725,5,5,6,4,6,6,5,6,5,6,4,6,5,Pública
1726,4,NA,NA,3,2,6,5,6,5,6,6,6,6,Pública
1727,5,NA,6,4,5,5,5,5,5,6,6,5,5,Pública
1728,5,5,6,4,6,6,6,5,4,6,6,6,6,Pública
1729,3,4,5,4,3,4,3,4,5,5,5,3,4,Pública
1730,4,NA,3,2,5,5,2,2,3,4,1,4,3,Pública
1731,6,6,6,6,6,6,6,6,4,6,6,6,6,Pública
1732,3,3,4,3,2,4,5,5,4,5,5,5,5,Pública
1733,6,6,6,6,6,6,4,6,6,6,3,4,6,Pública
1734,3,1,6,4,3,5,5,5,4,5,5,5,5,Pública
1735,5,NA,2,1,4,5,5,4,1,3,5,5,6,Pública
1736,5,6,6,6,5,6,5,6,5,6,6,6,6,Pública
1737,5,NA,5,5,5,5,4,5,4,6,5,5,5,Pública
1738,3,3,4,4,4,4,3,5,4,4,4,4,3,Pública
1739,4,4,5,5,4,5,3,4,5,6,5,5,5,Pública
1740,6,6,6,6,6,6,6,6,6,6,6,6,6,Pública
1741,3,NA,5,2,5,6,4,6,4,6,5,5,6,Pública
1742,2,4,5,4,6,5,4,5,4,5,6,5,5,Pública
1743,4,NA,6,5,4,6,4,6,6,6,5,6,5,Pública
1744,3,6,4,5,5,6,2,3,4,6,6,4,4,Pública
1745,1,NA,6,6,6,6,5,6,6,6,6,6,6,Pública
1746,5,2,5,6,6,6,3,5,6,6,4,4,6,Pública
1747,3,5,3,6,5,6,4,4,5,6,5,4,4,Pública
1748,4,2,6,6,4,6,2,5,6,5,6,5,1,Pública
1749,6,5,6,6,6,6,5,6,5,6,6,6,6,Pública
1750,5,4,5,6,4,6,4,6,5,6,6,6,4,Pública
1751,6,1,6,1,6,5,1,5,6,3,6,5,3,Pública
1752,6,6,5,4,4,6,4,5,4,6,6,4,4,Pública
1754,3,5,4,4,4,5,2,4,4,5,3,4,2,Pública
1755,4,NA,6,6,6,6,6,5,4,6,6,6,6,Pública
1756,2,4,5,2,2,2,5,3,4,5,3,4,3,Pública
1758,4,6,6,6,6,6,6,6,6,6,6,6,6,Pública
1759,5,4,6,4,5,6,4,5,6,5,5,5,4,Pública
1760,6,NA,4,3,6,6,5,5,6,6,6,6,5,Pública
1761,5,NA,6,4,6,6,5,6,5,5,4,4,6,Pública
1762,6,5,4,4,4,5,4,5,4,6,5,5,4,Pública
1763,4,NA,4,2,4,5,5,5,3,4,5,5,5,Pública
1764,5,5,5,5,3,5,5,6,5,6,5,5,4,Pública
1765,5,5,5,5,5,5,5,5,5,5,5,5,5,Pública
1766,6,4,6,5,5,5,5,5,5,6,6,6,6,Pública
1767,5,2,5,5,4,6,5,5,6,5,5,5,5,Pública
1768,3,3,5,4,4,5,4,3,4,6,6,5,6,Pública
1769,5,5,5,5,5,5,4,5,5,4,3,5,6,Pública
1770,3,1,4,1,4,6,1,6,1,6,3,6,5,Pública
1771,6,5,6,6,5,5,2,6,5,3,3,5,5,Pública
1772,4,NA,2,2,4,6,6,6,4,6,6,6,6,Pública
1773,4,2,6,3,5,6,6,6,4,6,6,6,6,Pública
1774,3,3,4,1,3,6,5,6,4,6,6,6,6,Pública
1775,6,6,6,6,6,6,6,6,6,6,6,6,6,Pública
1776,4,3,4,5,3,4,4,4,5,4,4,5,5,Pública
1777,2,2,5,1,4,5,4,4,2,4,4,5,4,Pública
1778,5,NA,6,6,NA,6,6,6,5,6,6,6,5,Pública
1779,5,5,5,6,5,5,6,6,6,6,4,5,4,Pública
1780,4,4,4,2,4,5,5,5,4,6,5,5,5,Pública
1781,5,NA,6,6,6,6,6,6,6,6,6,6,5,Pública
1782,6,5,6,6,6,6,6,6,5,6,6,6,6,Pública
1783,6,5,5,5,6,6,5,6,6,6,6,6,6,Pública
1784,6,6,6,6,6,6,6,6,6,6,6,6,6,Pública
1785,3,3,4,1,1,3,1,6,4,4,5,6,5,Pública
1786,1,1,5,1,1,5,4,5,2,6,3,4,5,Pública
1787,6,6,6,4,6,6,6,6,6,6,5,6,6,Pública
1788,6,6,6,1,1,5,4,1,4,5,4,6,5,Pública
1789,4,5,5,4,5,6,6,5,5,5,4,6,5,Pública
1790,2,3,4,3,5,6,4,5,4,6,6,4,5,Pública
1791,6,3,4,5,5,6,6,5,5,5,3,4,5,Pública
1793,NA,NA,4,2,3,6,5,5,3,4,6,3,3,Pública
1794,3,4,5,1,4,5,2,1,1,5,5,6,4,Pública
1795,6,6,4,6,6,6,5,6,1,6,5,6,4,Pública
1796,NA,3,2,1,4,4,1,3,1,4,3,4,4,Pública
1797,4,4,3,4,NA,5,NA,5,3,4,NA,3,5,Pública
1799,2,NA,3,2,3,4,4,5,2,5,4,5,4,Pública
1800,3,3,5,4,5,5,5,6,5,5,5,6,5,Pública
1801,4,4,3,4,5,5,5,5,2,5,4,6,4,Pública
1802,6,NA,5,4,3,6,6,6,1,6,6,6,6,Pública
1803,4,NA,5,4,6,6,5,6,3,6,6,6,5,Pública
1804,5,1,5,3,4,6,3,6,1,6,6,6,6,Pública
1805,5,4,5,4,5,6,5,5,5,6,6,6,5,Pública
1806,4,4,3,5,NA,5,5,5,4,6,5,5,5,Pública
1807,6,2,2,2,2,3,5,6,2,5,5,6,4,Pública
1808,3,4,3,4,2,3,3,3,2,3,3,4,3,Pública
1809,6,NA,NA,NA,NA,NA,4,6,NA,6,6,6,5,Pública
1810,2,6,2,NA,1,6,4,5,NA,6,5,6,5,Pública
1811,5,4,2,4,4,5,4,3,3,4,5,5,4,Pública
1812,6,NA,NA,1,1,4,2,NA,4,3,2,3,3,Pública
1813,NA,6,1,1,5,4,2,4,1,3,3,4,4,Pública
1815,5,5,5,1,6,6,3,4,5,6,6,5,6,Pública
1816,1,5,2,1,1,3,1,5,2,5,6,3,1,Pública
1817,2,3,1,1,3,3,1,4,3,6,4,5,4,Pública
1818,6,6,4,2,3,5,5,6,1,4,4,5,4,Pública
1819,2,1,1,1,3,5,2,5,3,4,5,5,5,Pública
1820,NA,NA,3,NA,3,NA,NA,5,1,3,6,3,5,Pública
1822,5,NA,5,4,5,4,5,4,3,5,5,5,4,Pública
1823,3,5,4,1,5,6,6,6,2,6,5,6,5,Pública
1824,2,1,2,1,1,5,4,4,1,6,6,6,5,Pública
1825,NA,NA,4,1,NA,5,4,5,2,5,5,4,4,Pública
1826,4,NA,4,3,6,6,4,NA,4,6,6,5,6,Pública
1827,1,1,5,3,3,4,4,4,3,4,5,4,4,Pública
1828,5,1,5,2,1,3,1,6,2,3,1,4,1,Pública
1829,6,NA,6,1,1,6,NA,6,4,6,6,6,6,Pública
1831,1,1,3,1,1,6,1,5,2,6,6,6,6,Pública
1832,5,4,5,4,4,5,5,5,4,6,6,5,4,Pública
1833,5,3,6,4,6,6,5,4,4,4,5,5,4,Pública
1834,6,6,1,4,1,6,1,6,4,5,1,3,4,Pública
1835,3,NA,3,3,3,6,4,6,3,6,4,5,4,Pública
1836,5,5,5,4,5,5,5,5,3,5,6,6,6,Pública
1837,NA,NA,5,5,6,6,5,5,4,6,6,6,6,Pública
1838,4,5,NA,1,2,6,5,4,3,5,4,4,5,Pública
1839,1,1,2,2,2,5,2,2,1,5,5,5,4,Pública
1840,4,5,5,5,5,5,4,5,3,6,6,5,4,Pública
1841,5,4,4,2,5,5,4,5,3,6,5,5,4,Pública
1842,5,6,5,4,5,6,3,6,5,6,6,6,6,Pública
1843,5,NA,3,2,2,6,3,5,2,5,5,6,5,Pública
1844,6,4,1,4,5,6,4,NA,1,6,6,5,6,Pública
1845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pública
1846,3,NA,5,5,6,6,5,5,2,6,5,5,5,Pública
1847,3,3,3,3,5,4,4,3,3,4,5,6,4,Pública
1848,5,3,5,4,5,5,5,6,6,6,4,6,6,Pública
1849,4,NA,2,2,NA,3,4,4,1,4,5,4,5,Pública
1850,NA,NA,NA,3,5,5,4,5,4,5,5,5,5,Pública
1851,5,4,5,2,5,6,NA,6,4,5,6,6,5,Pública
1852,4,4,2,2,4,5,4,5,2,6,5,5,5,Pública
1853,3,2,4,3,2,5,3,4,3,5,6,5,4,Pública
1854,NA,NA,NA,4,5,6,6,5,4,6,5,6,5,Pública
1855,4,4,5,3,4,5,3,4,3,5,4,4,4,Pública
1856,6,5,4,2,4,6,5,6,3,6,6,6,6,Pública
1857,5,6,1,1,2,3,NA,3,1,3,2,2,NA,Pública
1858,4,4,3,5,6,5,3,5,2,6,6,5,5,Pública
1859,1,NA,1,1,6,6,6,6,1,6,6,6,6,Pública
1860,1,1,1,1,3,4,1,1,1,1,4,4,3,Pública
1861,6,6,5,5,6,6,5,6,5,6,6,6,6,Pública
1863,4,4,3,1,4,6,6,6,1,6,6,6,6,Pública
1864,5,5,5,4,4,6,5,5,4,6,6,5,4,Pública
1865,5,4,5,4,5,6,6,4,3,6,4,5,4,Pública
1866,4,6,3,2,5,1,3,2,3,1,2,2,3,Pública
1867,5,6,1,2,1,5,3,4,2,6,6,6,4,Pública
1868,6,3,6,3,4,6,6,6,6,NA,6,6,6,Pública
1869,6,6,2,1,1,4,5,5,1,6,4,4,5,Pública
1870,4,4,6,5,6,6,6,6,5,6,6,6,6,Pública
1871,5,3,4,3,4,4,1,3,4,1,3,4,2,Pública
1872,5,5,4,3,6,5,5,5,3,6,6,NA,5,Pública
1873,3,6,6,3,6,6,6,6,3,6,6,6,6,Pública
1874,4,3,3,3,5,4,4,5,2,6,5,5,5,Pública
1875,5,5,5,4,4,6,5,5,5,6,5,5,5,Pública
1876,5,5,4,3,5,6,6,5,3,6,6,5,5,Pública
1877,4,5,5,6,5,5,5,5,5,5,5,5,5,Pública
1878,3,4,4,3,6,6,4,6,3,5,6,6,6,Pública
1880,3,3,3,3,3,3,3,3,3,3,3,3,3,Pública
1881,5,5,5,5,5,5,5,4,5,5,5,5,5,Pública
1882,5,NA,3,1,6,5,3,6,3,6,6,5,5,Pública
1883,6,6,4,1,6,6,6,6,1,6,6,6,6,Pública
1884,1,1,5,4,3,NA,5,3,3,4,NA,NA,NA,Pública
1885,4,2,5,4,4,6,3,5,2,5,5,5,5,Pública
1886,5,4,5,5,4,6,5,5,5,6,5,5,5,Pública
1887,6,5,5,5,5,6,6,5,4,6,6,6,5,Pública
1888,3,4,4,3,4,4,3,5,2,5,5,4,4,Pública
1889,6,5,4,5,NA,6,6,6,5,6,6,5,6,Pública
1890,4,1,3,3,5,6,5,5,2,5,6,4,4,Pública
1892,NA,5,5,1,5,5,5,5,3,5,5,5,5,Pública
1893,5,5,5,3,4,5,2,4,1,6,6,6,5,Pública
1894,5,5,6,5,6,6,6,5,5,6,6,6,6,Pública
1895,4,NA,5,6,6,6,6,6,2,6,6,6,5,Pública
1896,4,5,4,3,4,5,4,5,5,5,4,5,4,Pública
1897,3,3,4,3,4,5,3,4,3,5,5,5,4,Pública
1898,3,2,3,2,3,4,4,4,2,4,3,5,4,Pública
1899,1,NA,NA,1,1,1,1,NA,1,1,2,1,1,Pública
1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pública
1901,5,5,5,5,4,5,4,6,6,5,5,6,5,Pública
1902,4,4,3,4,4,4,4,5,4,6,5,4,4,Pública
1903,6,6,4,2,4,6,3,5,3,5,6,5,5,Pública
1904,4,4,5,5,6,5,5,5,3,5,3,4,5,Pública
1905,1,1,3,4,1,5,3,5,1,5,5,5,4,Pública
1906,4,5,4,3,5,6,5,4,3,5,5,5,5,Pública
1907,4,4,3,3,4,5,3,5,3,5,5,NA,4,Pública
1908,4,4,4,3,4,2,2,4,3,3,1,3,4,Pública
1909,5,4,3,2,2,3,5,4,3,6,NA,5,4,Pública
1911,6,5,6,5,5,6,4,6,4,5,3,5,5,Pública
1912,6,6,6,5,6,6,6,6,6,6,6,6,6,Pública
1913,6,6,6,1,6,6,2,6,1,5,5,6,6,Pública
1914,2,3,5,3,4,6,4,6,2,5,5,6,6,Pública
1915,5,2,3,2,3,4,3,3,3,5,5,3,3,Pública
1916,6,6,NA,2,NA,5,1,5,3,3,4,5,5,Pública
1917,3,3,3,2,4,6,6,6,6,6,6,6,6,Pública
1918,4,2,3,2,3,3,3,3,2,4,4,3,4,Pública
1919,5,NA,5,4,4,6,5,NA,5,6,5,5,4,Pública
1920,NA,4,NA,NA,5,4,5,5,NA,6,6,6,4,Pública
1921,6,6,5,6,6,5,5,5,4,6,4,5,5,Pública
1923,4,4,3,4,4,4,4,1,4,6,5,5,5,Pública
1924,6,3,4,5,5,6,5,6,4,6,6,6,6,Pública
1925,3,3,5,1,6,6,4,6,1,6,5,6,4,Pública
1926,NA,NA,2,NA,4,5,3,4,NA,3,3,4,3,Pública
1927,2,1,2,1,NA,2,2,2,1,4,3,3,2,Pública
1930,6,5,5,5,6,6,6,6,5,5,5,6,6,Pública
1931,6,6,6,6,6,6,6,6,6,6,6,6,6,Pública
1932,3,5,3,6,5,6,5,5,2,6,5,5,4,Pública
1933,5,6,3,1,1,5,4,6,2,6,6,5,6,Pública
1934,3,3,3,5,3,3,4,4,3,5,4,4,4,Pública
1935,4,NA,3,4,4,5,4,4,3,6,4,6,6,Pública
1936,4,4,4,3,5,6,4,6,3,5,5,5,5,Pública
1937,NA,1,NA,NA,5,5,3,4,NA,6,6,5,5,Pública
1938,5,3,3,5,5,5,4,5,3,3,3,4,5,Pública
1939,4,5,4,4,4,5,4,5,3,5,4,6,4,Pública
1941,6,3,1,3,1,3,5,3,3,4,4,5,5,Pública
1942,6,NA,6,3,6,6,5,6,5,6,6,6,6,Pública
1943,6,6,6,6,6,6,5,6,5,6,6,6,6,Pública
1945,5,4,5,5,5,5,5,5,4,5,5,5,5,Pública
1946,6,6,6,5,3,6,4,4,3,6,NA,6,4,Pública
1948,4,3,4,3,3,4,4,4,3,4,4,5,4,Pública
1950,2,2,4,2,3,3,3,5,2,5,3,3,4,Pública
1951,6,3,4,2,3,6,6,6,4,6,6,6,5,Pública
1952,6,6,6,6,6,6,6,6,6,5,5,6,6,Pública
1953,5,NA,5,3,NA,5,4,5,4,4,5,5,4,Pública
1956,6,6,6,3,6,6,5,5,3,5,5,6,5,Pública
1957,2,2,1,2,3,3,3,3,1,3,3,3,4,Pública
1958,5,NA,4,1,5,5,5,2,2,6,6,6,5,Pública
1959,4,4,5,4,5,5,4,6,2,4,4,5,3,Pública
1960,6,6,4,1,3,5,4,4,1,6,4,6,4,Pública
1961,3,1,2,2,4,2,3,5,3,6,6,4,3,Pública
1962,4,5,4,4,5,5,4,5,4,5,5,3,4,Pública
1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pública
1968,6,6,5,4,6,6,5,5,4,6,5,6,5,Pública
1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pública
1970,4,5,4,3,5,5,5,5,4,5,5,6,6,Pública
1971,5,5,6,2,6,6,5,6,5,6,6,6,4,Pública
1972,2,4,1,1,5,5,2,4,1,6,6,5,5,Pública
1973,5,5,5,5,5,5,5,5,5,5,5,5,5,Pública
1974,6,NA,5,5,5,6,5,6,4,6,5,6,5,Pública
1975,3,6,3,5,4,5,6,5,2,5,5,5,5,Pública
1976,2,5,4,1,5,6,2,5,4,6,6,5,3,Pública
1977,1,6,3,1,3,6,3,3,1,6,6,3,6,Pública
1978,5,6,4,1,5,6,4,5,2,6,5,5,3,Pública
1979,6,4,5,5,3,5,5,5,4,4,6,6,6,Pública
1980,3,1,2,2,5,6,2,5,2,6,6,4,4,Pública
1981,5,5,4,4,5,5,5,5,4,5,4,5,4,Pública
1982,3,NA,3,2,5,4,4,5,3,5,5,2,3,Pública
1984,4,NA,NA,3,4,4,4,4,4,5,4,4,4,Pública
1985,3,3,5,3,5,5,3,5,3,5,6,5,6,Pública
1986,2,3,3,1,3,5,3,5,3,6,5,4,3,Pública
1987,5,5,5,5,5,5,5,5,5,5,5,5,5,Pública
1989,4,NA,3,3,4,4,6,5,3,6,6,5,6,Pública
1990,2,4,4,2,4,4,3,4,4,4,4,4,4,Pública
1991,6,6,6,6,6,6,6,6,5,6,6,6,6,Pública
1992,3,3,2,3,2,3,5,5,2,5,5,5,5,Pública
1993,5,6,5,4,6,6,6,6,4,6,6,6,6,Pública
1994,6,5,2,NA,6,5,5,5,1,6,5,5,5,Pública
1995,5,5,2,5,3,4,3,5,2,5,4,5,4,Pública
1996,4,4,6,NA,4,6,6,6,2,6,6,6,6,Pública
1997,5,5,4,4,4,5,4,5,4,5,5,5,6,Pública
1998,6,6,6,5,6,6,6,6,4,6,6,6,6,Pública
1999,5,5,5,2,5,6,4,6,3,5,5,6,5,Pública
2000,5,5,5,5,5,5,6,5,5,6,3,5,6,Pública
2001,5,6,6,6,6,6,6,6,6,6,6,6,6,Pública
2002,6,6,6,6,6,6,6,6,6,6,6,6,6,Pública
2004,3,1,2,1,4,4,2,4,1,4,2,5,3,Pública
