id,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,CO_RS_I9,Categoria
2449,36.5,30,50,0,0,0,0,0,0,0,38.7,B,Pública
2450,58.2,63.7,62.5,65.5,76,60,80,55,75,50,56.3,C,Pública
2451,35.9,34,50,10,20,40,15,0,0,0,36.5,D,Pública
2452,29.2,46.8,50,42,57,65,55,27,55,20,23.3,C,Pública
2453,33.1,28,25,32.5,65,65,65,0,0,0,34.8,B,Pública
2454,47,79.2,75,85.5,77,65,80,94,70,100,36.3,E,Pública
2455,39.9,37.9,37.5,38.5,47,75,40,30,50,25,40.5,C,Pública
2456,31,32.3,12.5,62,54,70,50,70,50,75,30.6,D,Pública
2457,26.3,47.7,37.5,63,76,60,80,50,50,50,19.2,C,Pública
2458,30.6,68.7,62.5,78,80,80,80,76,80,75,17.9,D,Pública
2459,28.1,15,25,0,0,0,0,0,0,0,32.4,B,Pública
2460,28,70.9,62.5,83.5,92,60,100,75,75,75,13.7,B,Pública
2461,35.2,71.6,75,66.5,83,55,90,50,50,50,23,E,Pública
2462,29.7,44.4,50,36,23,55,15,49,65,45,24.8,D,Pública
2463,25.9,59.6,50,74,53,65,50,95,75,100,14.7,C,Pública
2464,46.9,80,75,87.5,80,80,80,95,75,100,35.9,C,Pública
2465,31,60.5,62.5,57.5,68,60,70,47,55,45,21.2,C,Pública
2466,27.4,46.1,37.5,59,43,55,40,75,75,75,21.1,D,Pública
2467,39.6,29.6,25,36.5,43,55,40,30,70,20,42.9,C,Pública
2468,58.9,59.6,50,74,95,75,100,53,65,50,58.6,C,Pública
2469,38.2,48.1,62.5,26.5,0,0,0,53,65,50,34.9,D,Pública
2470,55.2,37.5,62.5,0,0,0,0,0,0,0,61.1,E,Pública
2471,55,59.1,62.5,54,55,75,50,53,85,45,53.6,D,Pública
2473,71.3,64,50,85,75,55,80,95,75,100,73.7,D,Pública
2474,57.7,60.8,50,77,61,85,55,93,65,100,56.6,D,Pública
2475,73.4,72.3,62.5,87,79,75,80,95,75,100,73.8,D,Pública
2476,59.6,67.1,62.5,74,55,75,50,93,65,100,57.1,E,Pública
2477,52.4,52.2,50,55.5,59,75,55,52,60,50,52.5,C,Pública
2478,70,76.8,75,79.5,63,75,60,96,80,100,67.7,E,Pública
2479,57.5,59.7,37.5,93,89,85,90,97,85,100,56.7,D,Pública
2480,46.8,43,25,70,68,60,70,72,60,75,48,D,Pública
2481,44.5,59.6,50,74,55,75,50,93,65,100,39.5,C,Pública
2482,65.7,70.6,75,64,55,75,50,73,85,70,64.1,C,Pública
2483,65,61.3,62.5,59.5,50,50,50,69,65,70,66.2,E,Pública
2484,57.8,50.5,37.5,70,65,65,65,75,75,75,60.2,D,Pública
2485,52.4,42.6,25,69,63,75,60,75,75,75,55.6,D,Pública
2487,51.6,54.5,37.5,80,87,75,90,73,65,75,50.6,B,Pública
2488,60.7,62.2,75,43,55,75,50,31,55,25,60.2,D,Pública
2489,63.5,69.1,62.5,79,63,55,65,95,75,100,61.6,D,Pública
2490,45.5,75.8,75,77,87,75,90,67,55,70,35.4,E,Pública
2491,46,57.4,50,68.5,65,85,60,72,60,75,42.2,D,Pública
2492,44.3,65.1,62.5,69,87,75,90,51,75,45,37.3,E,Pública
2493,21.4,30,50,0,0,0,0,0,0,0,18.5,D,Pública
2494,59.2,87.3,87.5,87,77,65,80,97,85,100,49.8,.,Pública
2495,38,59.8,50,74.5,57,65,55,92,60,100,30.7,C,Pública
2496,39.4,72.9,87.5,51,51,75,45,51,75,45,28.2,E,Pública
2497,37.4,53.8,50,59.5,68,80,65,51,75,45,31.9,D,Pública
2498,67,87.3,87.5,87,79,75,80,95,75,100,60.2,D,Pública
2499,49.3,82.1,87.5,74,77,65,80,71,75,70,38.3,D,Pública
2500,36.8,53.6,50,59,45,45,45,73,65,75,31.2,E,Pública
2501,49.5,69.9,62.5,81,67,35,75,95,75,100,42.7,D,Pública
2502,46.1,49.4,50,48.5,68,60,70,29,45,25,45,B,Pública
2503,40.8,47,50,42.5,85,65,90,0,0,0,38.7,C,Pública
2504,59.6,84.5,87.5,80,89,85,90,71,75,70,51.3,D,Pública
2505,42.9,83.1,87.5,76.5,80,80,80,73,85,70,29.5,C,Pública
2506,40,74.4,75,73.5,52,80,45,95,75,100,28.5,C,Pública
2507,57.2,73.2,75,70.5,89,85,90,52,80,45,51.8,C,Pública
2508,40.2,44.8,50,37,74,90,70,0,0,0,38.7,E,Pública
2509,43.6,66.9,62.5,73.5,74,50,80,73,85,70,35.8,B,Pública
2510,46.3,78.9,87.5,66,60,80,55,72,60,75,35.4,D,Pública
2511,57.2,45,75,0,0,0,0,0,0,0,61.2,E,Pública
2512,55.2,70.3,62.5,82,93,65,100,71,75,70,50.2,D,Pública
2513,61.8,44.8,50,37,74,90,70,0,0,0,67.5,E,Pública
2514,59.5,59.2,75,35.5,71,75,70,0,0,0,59.6,D,Pública
2515,41.9,59.8,50,74.5,80,80,80,69,45,75,35.9,D,Pública
2516,33.1,53.7,37.5,78,66,50,70,90,50,100,26.2,D,Pública
2517,37.3,44.8,25,74.5,74,70,75,75,75,75,34.8,E,Pública
2518,47.3,81.6,75,91.5,92,60,100,91,55,100,35.9,C,Pública
2519,34.3,45.8,50,39.5,79,75,80,0,0,0,30.5,D,Pública
2520,42.9,68.5,62.5,77.5,62,70,60,93,65,100,34.4,D,Pública
2521,28.8,52.7,37.5,75.5,79,75,80,72,60,75,20.8,D,Pública
2522,53.4,68.6,75,59,52,60,50,66,50,70,48.3,E,Pública
2523,41.8,63.5,62.5,65,79,75,80,51,75,45,34.5,C,Pública
2524,58.4,57.6,50,69,87,75,90,51,75,45,58.7,E,Pública
2526,38.6,73.4,75,71,71,75,70,71,75,70,27,B,Pública
2527,37.8,68.5,87.5,40,0,0,0,80,100,75,27.5,D,Pública
2528,71.4,87.3,87.5,87,79,75,80,95,75,100,66.1,D,Pública
2529,26.9,35.1,37.5,31.5,63,75,60,0,0,0,24.2,E,Pública
2530,68.8,81.3,87.5,72,69,65,70,75,75,75,64.6,E,Pública
2531,48.3,67.9,62.5,76,80,80,80,72,60,75,41.7,C,Pública
2532,56.6,52.5,87.5,0,0,0,0,0,0,0,58,D,Pública
2533,25.3,78,75,82.5,73,65,75,92,60,100,7.7,E,Pública
2534,53.2,77.1,87.5,61.5,48,80,40,75,75,75,45.2,D,Pública
2535,56.1,42.1,37.5,49,43,55,40,55,75,50,60.7,D,Pública
2536,42,60.3,62.5,57,62,50,65,52,60,50,35.9,C,Pública
2537,52.4,72.6,100,31.5,63,75,60,0,0,0,45.7,C,Pública
2538,68.1,79,75,85,78,70,80,92,60,100,64.5,D,Pública
2539,44.3,53.7,62.5,40.5,55,75,50,26,50,20,41.2,E,Pública
2540,69.9,77.2,75,80.5,86,70,90,75,75,75,67.5,D,Pública
2541,34.1,36.3,37.5,34.5,69,65,70,0,0,0,33.4,E,Pública
2542,36.5,53.4,50,58.5,46,70,40,71,55,75,30.9,E,Pública
2543,38.5,59.8,50,74.5,53,65,50,96,80,100,31.4,D,Pública
2544,44.9,80.9,87.5,71,69,85,65,73,85,70,32.9,A,Pública
2545,42.9,55,50,62.5,77,65,80,48,40,50,38.8,C,Pública
2546,42,63.2,75,45.5,61,65,60,30,50,25,34.9,B,Pública
2547,44.1,73,75,70,70,50,75,70,50,75,34.4,B,Pública
2548,30.6,64.5,62.5,67.5,60,80,55,75,75,75,19.3,C,Pública
2549,65.7,82.2,75,93,90,90,90,96,80,100,60.2,E,Pública
2550,59.7,70.1,87.5,44,18,30,15,70,70,70,56.2,*,Pública
2551,52.5,88.9,87.5,91,86,70,90,96,80,100,40.3,D,Pública
2552,39.8,54.1,37.5,79,63,75,60,95,75,100,35,D,Pública
2553,34.3,59.8,50,74.5,83,55,90,66,50,70,25.8,D,Pública
2554,41.9,71.8,75,67,82,90,80,52,60,50,31.9,D,Pública
2555,51.1,76.7,87.5,60.5,66,90,60,55,75,50,42.5,.,Pública
2556,53.1,51.4,25,91,87,75,90,95,75,100,53.7,D,Pública
2557,24.9,30,50,0,0,0,0,0,0,0,23.2,B,Pública
2558,47.7,74.6,75,74,79,75,80,69,65,70,38.7,D,Pública
2559,43.9,64.7,87.5,30.5,33,45,30,28,40,25,37,E,Pública
2560,43.9,72.3,62.5,87,79,75,80,95,75,100,34.4,D,Pública
2561,45.8,65.2,75,50.5,51,55,50,50,50,50,39.3,C,Pública
2562,23.3,27.9,12.5,51,73,65,75,29,65,20,21.8,D,Pública
2563,26.9,15,25,0,0,0,0,0,0,0,30.9,B,Pública
2564,42.7,78.2,75,83,95,75,100,71,55,75,30.9,E,Pública
2565,57.7,54.8,50,62,58,50,60,66,50,70,58.7,D,Pública
2566,30.4,55.4,50,63.5,57,65,55,70,50,75,22,E,Pública
2567,51,78.4,75,83.5,72,60,75,95,75,100,41.8,D,Pública
2568,53.5,45,75,0,0,0,0,0,0,0,56.3,D,Pública
2569,44.2,78.2,75,83,72,60,75,94,70,100,32.9,B,Pública
2570,24.6,30,50,0,0,0,0,0,0,0,22.8,B,Pública
2571,42.1,66.7,62.5,73,73,65,75,73,65,75,33.9,E,Pública
2572,27.6,33.2,25,45.5,91,95,90,0,0,0,25.7,C,Pública
2573,70,83.3,87.5,77,79,75,80,75,75,75,65.6,E,Pública
2574,40.8,47.6,25,81.5,72,60,75,91,55,100,38.5,E,Pública
2575,53.3,63.9,62.5,66,81,85,80,51,75,45,49.8,D,Pública
2576,30.4,65.9,62.5,71,71,55,75,71,75,70,18.5,A,Pública
2577,25.2,89.5,87.5,92.5,90,50,100,95,75,100,3.8,E,Pública
2578,63.6,81.1,87.5,71.5,68,80,65,75,75,75,57.8,D,Pública
2579,50.8,73.1,62.5,89,82,90,80,96,80,100,43.3,C,Pública
2580,28,41,25,65,59,75,55,71,55,75,23.7,C,Pública
2581,61.3,60.2,75,38,48,40,50,28,40,25,61.6,C,Pública
2582,48.2,66.3,62.5,72,51,75,45,93,65,100,42.2,D,Pública
2583,69.4,80.7,87.5,70.5,69,65,70,72,60,75,65.6,C,Pública
2584,57.1,85.4,100,63.5,52,60,50,75,75,75,47.7,.,Pública
2585,42.5,57.6,50,69,48,80,40,90,50,100,37.4,D,Pública
2586,37.3,40,50,25,0,0,0,50,70,45,36.4,C,Pública
2587,64.2,77.9,87.5,63.5,80,80,80,47,55,45,59.6,D,Pública
2588,38.8,21.2,0,53,79,75,80,27,55,20,44.7,.,Pública
2589,63.9,75.1,87.5,56.5,63,55,65,50,70,45,60.2,D,Pública
2590,50,79.9,87.5,68.5,69,85,65,68,40,75,40,D,Pública
2591,25.1,33.5,12.5,65,61,85,55,69,65,70,22.3,B,Pública
2592,57.3,70.3,62.5,82,69,65,70,95,75,100,53,D,Pública
2593,37.5,57.1,62.5,49,49,65,45,49,65,45,30.9,D,Pública
2594,61.5,64,75,47.5,46,70,40,49,65,45,60.6,C,Pública
2595,42.2,53.7,62.5,40.5,35,75,25,46,50,45,38.3,C,Pública
2596,57.4,79,75,85,75,75,75,95,75,100,50.2,C,Pública
2597,45.9,56.8,50,67,79,75,80,55,75,50,42.3,C,Pública
2598,60.9,54.2,75,23,0,0,0,46,50,45,63.1,D,Pública
2599,49.1,73.8,75,72,73,45,80,71,55,75,40.8,C,Pública
2600,49.9,73.9,87.5,53.5,80,80,80,27,55,20,41.9,E,Pública
2601,28.4,42.4,25,68.5,82,50,90,55,75,50,23.7,C,Pública
2602,17.6,7.5,12.5,0,0,0,0,0,0,0,21,B,Pública
2603,39.2,59.4,50,73.5,74,90,70,73,65,75,32.5,B,Pública
2604,55.6,74.4,75,73.5,80,80,80,67,55,70,49.3,C,Pública
2605,33.3,37.5,37.5,37.5,50,30,55,25,45,20,31.9,C,Pública
2606,48.8,66.7,62.5,73,77,65,80,69,65,70,42.8,D,Pública
2607,38.8,63.1,62.5,64,55,75,50,73,65,75,30.7,D,Pública
2608,27.7,62.9,62.5,63.5,76,80,75,51,75,45,16,C,Pública
2609,48.4,75.4,75,76,81,85,80,71,75,70,39.4,D,Pública
2610,61.5,90.1,87.5,94,90,90,90,98,90,100,52,D,Pública
2611,36.5,68.8,50,97,98,90,100,96,80,100,25.7,D,Pública
2612,21.9,33.4,25,46,61,65,60,31,75,20,18,B,Pública
2613,33.4,61.6,50,79,65,65,65,93,65,100,24,B,Pública
2614,37.5,74.5,87.5,55,79,75,80,31,55,25,25.2,E,Pública
2615,50.3,69.8,75,62,93,65,100,31,55,25,43.8,D,Pública
2616,32.8,51.5,37.5,72.5,74,90,70,71,75,70,26.5,D,Pública
2617,39,51.4,50,53.5,79,75,80,28,40,25,34.9,C,Pública
2618,47.9,37.5,62.5,0,0,0,0,0,0,0,51.3,D,Pública
2619,30.3,51.1,37.5,71.5,71,75,70,72,80,70,23.3,E,Pública
2620,57.2,84.3,87.5,79.5,66,70,65,93,65,100,48.2,D,Pública
2621,54.9,37.5,62.5,0,0,0,0,0,0,0,60.7,E,Pública
2622,69,74.9,87.5,56,43,55,40,69,65,70,67,D,Pública
2623,36.6,65.5,87.5,32.5,65,65,65,0,0,0,27,C,Pública
2624,30,56.2,50,65.5,63,55,65,68,60,70,21.3,C,Pública
2626,56.5,69.2,75,60.5,69,85,65,52,80,45,52.3,E,Pública
2628,42.3,46.8,25,79.5,87,75,90,72,80,70,40.8,D,Pública
2630,48,62.5,62.5,62.5,75,75,75,50,50,50,43.2,D,Pública
2631,44.2,60.2,50,75.5,55,75,50,96,80,100,38.9,D,Pública
2632,58.2,64.3,62.5,67,59,75,55,75,75,75,56.1,D,Pública
2633,26.2,46.3,37.5,59.5,49,65,45,70,50,75,19.5,B,Pública
2634,56.4,48,25,82.5,79,75,80,86,30,100,59.2,E,Pública
2635,39.9,42.8,25,69.5,66,70,65,73,65,75,38.9,E,Pública
2636,45.6,82.1,87.5,74,78,70,80,70,50,75,33.4,C,Pública
2637,51.2,76.4,75,78.5,81,85,80,76,80,75,42.8,C,Pública
2638,46,56.4,50,66,79,75,80,53,65,50,42.5,E,Pública
2640,57.2,63.3,62.5,64.5,63,75,60,66,50,70,55.2,D,Pública
2641,47.4,78.4,75,83.5,95,75,100,72,80,70,37,D,Pública
2642,37.4,58,50,70,70,50,75,70,50,75,30.5,C,Pública
2643,52.4,50.4,50,51,47,75,40,55,75,50,53,D,Pública
2644,52.6,73.7,62.5,90.5,89,85,90,92,60,100,45.5,D,Pública
2645,60.7,79.8,75,87,78,70,80,96,80,100,54.3,C,Pública
2646,41.6,52.5,37.5,75,78,90,75,72,60,75,37.9,D,Pública
2647,35.9,75.2,75,75.5,76,60,80,75,75,75,22.8,D,Pública
2648,54.1,56.6,50,66.5,66,70,65,67,55,70,53.3,C,Pública
2649,61.4,79.5,87.5,67.5,65,65,65,70,50,75,55.3,D,Pública
2650,48,57,50,67.5,64,80,60,71,75,70,45,D,Pública
2651,53.3,80.4,75,88.5,81,85,80,96,80,100,44.2,D,Pública
2652,58.5,53.5,62.5,40,80,80,80,0,0,0,60.2,C,Pública
2653,71.4,94.6,100,86.5,95,75,100,78,90,75,63.6,D,Pública
2654,48.9,92.4,100,81,67,75,65,95,75,100,34.4,C,Pública
2655,41.8,67,75,55,59,75,55,51,75,45,33.4,D,Pública
2656,39.8,53.2,50,58,41,45,40,75,75,75,35.3,E,Pública
2657,45.9,59.5,62.5,55,58,50,60,52,60,50,41.3,C,Pública
2660,66.1,49.5,37.5,67.5,83,55,90,52,60,50,71.6,D,Pública
2661,65.9,48.9,37.5,66,63,75,60,69,65,70,71.6,D,Pública
2662,59.3,64.7,62.5,68,64,80,60,72,80,70,57.5,D,Pública
2663,77.5,75.5,87.5,57.5,83,95,80,32,80,20,78.1,D,Pública
2664,40.2,60.7,62.5,58,63,75,60,53,65,50,33.3,D,Pública
2665,67.9,56.7,62.5,48,0,0,0,96,80,100,71.6,C,Pública
2666,74.9,92.8,100,82,95,75,100,69,65,70,68.9,E,Pública
2667,58.1,87.3,87.5,87,79,75,80,95,75,100,48.3,D,Pública
2668,45,55.6,50,64,80,80,80,48,60,45,41.5,D,Pública
2669,58.9,75.8,75,77,79,75,80,75,95,70,53.2,D,Pública
2670,65.5,63.6,50,84,74,70,75,94,70,100,66.1,D,Pública
2671,24.2,37.7,12.5,75.5,76,60,80,75,75,75,19.7,B,Pública
2672,52.3,62.1,62.5,61.5,53,65,50,70,50,75,49,E,Pública
2673,54.4,60,50,75,77,65,80,73,65,75,52.5,C,Pública
2674,58.9,72.1,62.5,86.5,80,80,80,93,65,100,54.5,D,Pública
2675,77.2,78.3,87.5,64.5,74,90,70,55,75,50,76.8,D,Pública
2676,41.8,56.6,50,66.5,86,70,90,47,55,45,36.8,D,Pública
2677,40.7,37.5,62.5,0,0,0,0,0,0,0,41.8,D,Pública
2678,75.7,81.5,87.5,72.5,76,60,80,69,65,70,73.8,D,Pública
2679,52.3,89.8,100,74.5,74,70,75,75,75,75,39.8,E,Pública
2680,74.7,67.4,75,56,57,85,50,55,75,50,77.1,D,Pública
2681,49.2,79.8,75,87,79,75,80,95,75,100,39,D,Pública
2682,52.9,57,50,67.5,67,75,65,68,40,75,51.5,C,Pública
2683,48.7,50.7,62.5,33,66,70,65,0,0,0,48,.,Pública
2684,55.1,71.1,87.5,46.5,93,65,100,0,0,0,49.7,E,Pública
2685,51.4,64.7,62.5,68,64,80,60,72,80,70,47,B,Pública
2686,70.5,63.9,62.5,66,57,65,55,75,75,75,72.7,.,Pública
2687,66.2,43.3,37.5,52,58,50,60,46,50,45,73.8,E,Pública
2688,62.2,86.7,87.5,85.5,76,60,80,95,75,100,54,B,Pública
2689,54.6,70.9,87.5,46,60,80,55,32,80,20,49.2,D,Pública
2691,41.4,54.9,37.5,81,87,75,90,75,75,75,36.9,B,Pública
2692,69.6,68,75,57.5,63,75,60,52,80,45,70.1,D,Pública
2693,56.7,64.1,62.5,66.5,79,75,80,54,70,50,54.2,D,Pública
2694,50,49.8,50,49.5,67,75,65,32,80,20,50,C,Pública
2695,70.1,85.5,87.5,82.5,70,90,65,95,75,100,64.9,E,Pública
2696,39.1,75.6,75,76.5,60,60,60,93,65,100,26.9,B,Pública
2697,60.8,67.1,62.5,74,53,65,50,95,75,100,58.7,E,Pública
2698,67.8,62.9,62.5,63.5,34,50,30,93,65,100,69.4,E,Pública
2699,54.3,56.8,50,67,63,55,65,71,75,70,53.5,B,Pública
2700,65,60.7,62.5,58,48,80,40,68,40,75,66.4,D,Pública
2701,66.8,80.1,87.5,69,63,75,60,75,95,70,62.4,D,Pública
2702,46.3,37.5,62.5,0,0,0,0,0,0,0,49.2,B,Pública
2703,45.1,55.8,50,64.5,58,70,55,71,75,70,41.5,C,Pública
2704,73.6,45,75,0,0,0,0,0,0,0,83.1,C,Pública
2705,73.4,60.2,75,38,0,0,0,76,80,75,77.8,D,Pública
2706,26.9,36,25,52.5,54,70,50,51,75,45,23.9,C,Pública
2707,69.9,68.6,50,96.5,97,85,100,96,80,100,70.3,D,Pública
2709,55.9,84.1,87.5,79,63,75,60,95,75,100,46.5,B,Pública
2711,42.1,39.4,25,61,76,80,75,46,30,50,43,D,Pública
2712,46.1,44.1,37.5,54,45,65,40,63,35,70,46.7,C,Pública
2714,48.7,67.9,62.5,76,59,75,55,93,65,100,42.3,D,Pública
2715,69.8,74.4,75,73.5,74,50,80,73,65,75,68.2,D,Pública
2716,54.2,82.2,100,55.5,63,75,60,48,60,45,44.8,E,Pública
2717,65.1,45,75,0,0,0,0,0,0,0,71.8,D,Pública
2718,51.5,49.5,37.5,67.5,65,65,65,70,50,75,52.2,C,Pública
2719,49.2,62.8,50,82,70,90,65,94,70,100,44.7,C,Pública
2720,45.5,56.4,50,66,62,70,60,70,70,70,41.8,D,Pública
2721,53.9,64,50,85,75,75,75,95,75,100,50.5,C,Pública
2722,70.3,79.8,75,87,77,65,80,97,85,100,67.1,E,Pública
2723,53.5,66.3,62.5,72,94,70,100,50,50,50,49.2,E,Pública
2724,59.7,67.2,75,55.5,58,70,55,53,85,45,57.2,C,Pública
2725,44.9,28.9,37.5,16,10,50,0,22,30,20,50.2,D,Pública
2726,56.4,59,50,72.5,70,70,70,75,75,75,55.5,E,Pública
2727,71.1,72.4,75,68.5,49,65,45,88,40,100,70.6,D,Pública
2728,50.9,61.9,62.5,61,67,75,65,55,75,50,47.2,D,Pública
2729,58.1,65.1,62.5,69,67,75,65,71,75,70,55.7,E,Pública
2730,59.5,59.4,50,73.5,54,50,55,93,65,100,59.5,D,Pública
2731,62.1,65.5,62.5,70,85,65,90,55,75,50,60.9,D,Pública
2732,70.8,78.8,75,84.5,79,75,80,90,50,100,68.1,C,Pública
2733,70.8,68.5,62.5,77.5,80,80,80,75,75,75,71.6,D,Pública
2734,72.4,70.2,75,63,80,80,80,46,50,45,73.1,D,Pública
2735,66.3,80.3,87.5,69.5,87,75,90,52,80,45,61.6,D,Pública
2736,77.4,78.9,87.5,66,61,65,60,71,75,70,76.9,E,Pública
2737,56.7,76.2,100,40.5,10,50,0,71,75,70,50.2,D,Pública
2738,61.3,62,50,80,68,80,65,92,60,100,61,.,Pública
2739,69,79,75,85,75,55,80,95,75,100,65.7,D,Pública
2740,73.6,78.9,87.5,66,68,60,70,64,40,70,71.8,D,Pública
2741,58.9,68.9,62.5,78.5,84,60,90,73,65,75,55.5,C,Pública
2742,45.7,59.6,50,74,77,65,80,71,75,70,41,E,Pública
2743,52.4,85.1,87.5,81.5,92,60,100,71,75,70,41.5,C,Pública
2744,50.6,78.4,75,83.5,76,80,75,91,55,100,41.3,D,Pública
2745,51.6,75,75,75,80,80,80,70,70,70,43.8,D,Pública
2746,57.7,54.1,62.5,41.5,54,50,55,29,45,25,58.9,C,Pública
2747,60.5,45,50,37.5,0,0,0,75,75,75,65.6,E,Pública
2748,45.4,67.4,75,56,65,65,65,47,55,45,38,C,Pública
2749,63.7,73.3,87.5,52,54,50,55,50,50,50,60.5,C,Pública
2750,52.1,54,50,60,49,65,45,71,75,70,51.5,C,Pública
2751,49.7,72,75,67.5,62,70,60,73,65,75,42.3,D,Pública
2752,28.9,57.8,50,69.5,64,80,60,75,95,70,19.3,B,Pública
2754,51.6,67.4,75,56,66,50,70,46,50,45,46.3,D,Pública
2755,41.3,37.5,62.5,0,0,0,0,0,0,0,42.5,B,Pública
2756,45.2,56.2,75,28,51,75,45,5,25,0,41.5,C,Pública
2757,59.9,93,100,82.5,70,70,70,95,75,100,48.8,D,Pública
2758,55.4,40.6,50,26.5,38,70,30,15,75,0,60.3,E,Pública
2759,34.8,49.9,37.5,68.5,65,85,60,72,60,75,29.8,C,Pública
2760,46.8,83.1,87.5,76.5,80,80,80,73,65,75,34.7,D,Pública
2761,33.8,48.2,25,83,69,65,70,97,85,100,29,D,Pública
2762,42,46.5,37.5,60,54,70,50,66,50,70,40.5,D,Pública
2763,47.9,70.8,75,64.5,76,60,80,53,65,50,40.3,E,Pública
2764,47.2,82.9,87.5,76,77,65,80,75,75,75,35.3,D,Pública
2765,56.6,80.7,87.5,70.5,71,75,70,70,50,75,48.6,C,Pública
2766,32,56.7,62.5,48,30,50,25,66,50,70,23.7,D,Pública
2767,55.2,81.2,75,90.5,87,75,90,94,70,100,46.5,D,Pública
2768,45.8,59.1,37.5,91.5,90,90,90,93,65,100,41.4,E,Pública
2769,31.1,58.2,50,70.5,72,60,75,69,65,70,22,C,Pública
2770,44.3,54.5,37.5,80,70,70,70,90,50,100,40.9,D,Pública
2771,57.6,74,75,72.5,71,75,70,74,70,75,52.1,E,Pública
2772,55,82,75,92.5,87,75,90,98,90,100,46,E,Pública
2773,52.1,48.8,50,47,43,55,40,51,75,45,53.2,D,Pública
2774,40.2,59.6,50,74,73,85,70,75,75,75,33.7,D,Pública
2775,58.5,84.5,87.5,80,85,65,90,75,75,75,49.8,D,Pública
2776,54.2,75,75,75,80,80,80,70,50,75,47.2,E,Pública
2777,31.4,62.1,62.5,61.5,73,85,70,50,70,45,21.1,E,Pública
2778,36.9,49,50,47.5,45,65,40,50,50,50,32.9,E,Pública
2779,64.6,86.6,100,66.5,59,75,55,74,70,75,57.2,B,Pública
2780,30.7,59,50,72.5,72,60,75,73,65,75,21.3,D,Pública
2781,39,56.5,37.5,85,98,90,100,72,80,70,33.2,D,Pública
2782,31.9,54.9,62.5,43.5,36,60,30,51,75,45,24.2,D,Pública
2783,49.4,65.4,75,51,76,80,75,26,50,20,44,C,Pública
2784,43.9,63.1,62.5,64,52,60,50,76,80,75,37.5,D,Pública
2785,38.9,64.7,62.5,68,85,65,90,51,75,45,30.3,D,Pública
2786,35,44.7,37.5,55.5,50,50,50,61,25,70,31.7,B,Pública
2787,43.2,71.7,62.5,85.5,79,75,80,92,60,100,33.7,E,Pública
2788,30.6,57.8,50,69.5,67,55,70,72,60,75,21.5,D,Pública
2789,51.3,59.8,50,74.5,76,80,75,73,65,75,48.5,D,Pública
2790,49,54.2,50,60.5,65,45,70,56,80,50,47.3,C,Pública
2791,32.8,50.3,37.5,69.5,95,75,100,44,40,45,27,B,Pública
2792,44.6,69,75,60,73,65,75,47,55,45,36.4,C,Pública
2793,39.4,79.4,75,86,77,65,80,95,75,100,26,C,Pública
2794,31.8,53.5,87.5,2.5,5,25,0,0,0,0,24.5,E,Pública
2795,43.8,60.4,50,76,81,85,80,71,55,75,38.3,D,Pública
2796,46.9,72.9,62.5,88.5,84,60,90,93,65,100,38.2,D,Pública
2797,48.7,76.5,87.5,60,47,75,40,73,65,75,39.4,D,Pública
2798,54.8,68.6,75,59,72,60,75,46,50,45,50.2,E,Pública
2799,53.1,83.9,87.5,78.5,82,90,80,75,75,75,42.8,C,Pública
2800,56,74.8,75,74.5,77,85,75,72,80,70,49.7,C,Pública
2801,35.5,66.4,50,91,87,75,90,95,75,100,25.2,D,Pública
2802,46,72.4,75,68.5,71,55,75,66,50,70,37.2,D,Pública
2804,27.9,52.3,62.5,37,0,0,0,74,70,75,19.8,D,Pública
2805,34.8,79,75,85,95,75,100,75,75,75,20,E,Pública
2806,49,62.6,50,81.5,87,75,90,76,80,75,44.4,D,Pública
2807,49.1,52.4,25,93.5,93,65,100,94,70,100,48,D,Pública
2808,59,74.4,75,73.5,76,60,80,71,75,70,53.8,D,Pública
2809,38.9,37.5,62.5,0,0,0,0,0,0,0,39.4,.,Pública
2811,29,64.2,75,48,46,50,45,50,50,50,17.2,D,Pública
2812,47.4,52.5,87.5,0,0,0,0,0,0,0,45.7,E,Pública
2813,31.7,74.2,75,73,95,75,100,51,75,45,17.5,D,Pública
2814,37.1,49.5,37.5,67.5,67,55,70,68,40,75,32.9,C,Pública
2815,33.5,67.2,75,55.5,63,55,65,48,60,45,22.3,D,Pública
2816,43.9,69.2,75,60.5,46,70,40,75,75,75,35.5,C,Pública
2817,60.6,86.8,100,67,63,75,60,71,55,75,51.8,D,Pública
2818,36,59.9,62.5,56,56,80,50,56,80,50,28,E,Pública
2819,49,79.4,75,86,77,65,80,95,75,100,38.8,.,Pública
2820,38.1,69,75,60,71,95,65,49,65,45,27.8,E,Pública
2821,59.1,78.6,75,84,73,85,70,95,75,100,52.6,D,Pública
2822,44,75.4,75,76,85,65,90,67,55,70,33.5,.,Pública
2823,44.5,60.2,75,38,54,50,55,22,30,20,39.2,D,Pública
2824,46.9,48.5,62.5,27.5,55,75,50,0,0,0,46.3,D,Pública
2825,48.8,16.2,25,3,0,0,0,6,30,0,59.7,A,Pública
2826,40.1,33,50,7.5,15,75,0,0,0,0,42.4,C,Pública
2827,42.1,74.1,87.5,54,55,75,50,53,65,50,31.4,C,Pública
2828,50.4,65.9,62.5,71,67,75,65,75,75,75,45.2,D,Pública
