id,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,CO_RS_I9,Categoria
471,63.2,74.4,75,73.5,54,50,55,93,65,100,59.4,E,Pública
475,58.8,54,50,60,50,70,45,70,50,75,60.4,D,Pública
476,45.4,65,50,87.5,84,60,90,91,55,100,38.8,E,Pública
479,44.3,55.9,37.5,83.5,74,50,80,93,65,100,40.4,D,Pública
484,45.2,55,50,62.5,49,65,45,76,80,75,41.9,D,Pública
486,58.2,70.5,62.5,82.5,92,100,90,73,65,75,54.1,B,Pública
488,67.1,63.7,62.5,65.5,78,70,80,53,65,50,68.2,D,Pública
489,56.6,86.3,87.5,84.5,91,55,100,78,90,75,46.7,E,Pública
490,56.7,55.4,50,63.5,55,35,60,72,60,75,57.1,E,Pública
492,29.3,42.9,37.5,51,47,75,40,55,75,50,24.8,B,Pública
493,51.8,38.7,12.5,78,62,70,60,94,70,100,56.1,E,Pública
495,36.9,34.3,37.5,29.5,13,65,0,46,30,50,37.7,B,Pública
497,46.7,75.9,87.5,58.5,64,60,65,53,65,50,36.9,C,Pública
498,39.4,52.3,37.5,74.5,53,65,50,96,80,100,35.1,C,Pública
499,38.7,59.4,50,73.5,76,60,80,71,55,75,31.8,B,Pública
501,44.7,54.5,37.5,80,65,65,65,95,75,100,41.4,B,Pública
502,27,31.6,25,41.5,59,75,55,24,40,20,25.5,D,Pública
503,45.8,22.5,37.5,0,0,0,0,0,0,0,53.6,B,Pública
505,50.3,53.8,50,59.5,49,45,50,70,50,75,49.1,D,Pública
506,40.8,49.2,50,48,47,75,40,49,65,45,38,B,Pública
507,53,48.3,37.5,64.5,58,50,60,71,55,75,54.6,B,Pública
508,32.7,22.5,37.5,0,0,0,0,0,0,0,36.1,E,Pública
509,42.7,45.2,25,75.5,65,65,65,86,30,100,41.9,D,Pública
510,64.1,63.6,50,84,75,55,80,93,65,100,64.2,D,Pública
512,47.4,43,50,32.5,65,65,65,0,0,0,48.9,D,Pública
518,40.8,63.1,62.5,64,95,75,100,33,65,25,33.3,C,Pública
519,28.2,59.6,50,74,82,50,90,66,30,75,17.7,C,Pública
521,30.5,69,50,97.5,98,90,100,97,85,100,17.7,B,Pública
522,64.1,71.6,75,66.5,59,75,55,74,70,75,61.6,C,Pública
523,49.3,58.3,62.5,52,77,65,80,27,55,20,46.3,D,Pública
526,28.5,42.4,25,68.5,67,75,65,70,50,75,23.8,C,Pública
534,66.7,59.1,62.5,54,55,75,50,53,65,50,69.2,D,Pública
536,47.8,64.6,50,86.5,80,80,80,93,65,100,42.2,D,Pública
537,39.7,54,75,22.5,0,0,0,45,45,45,34.9,C,Pública
538,47.7,39,25,60,48,40,50,72,60,75,50.6,D,Pública
544,54.4,55.2,50,63,51,75,45,75,75,75,54.1,C,Pública
546,46.5,54.2,50,60.5,70,50,75,51,75,45,43.9,C,Pública
547,22.4,15,25,0,0,0,0,0,0,0,24.8,.,Pública
548,37.2,36.4,25,53.5,57,65,55,50,50,50,37.4,C,Pública
551,37.5,53,50,57.5,39,75,30,76,80,75,32.3,C,Pública
552,42.2,54.9,37.5,81,87,75,90,75,75,75,37.9,D,Pública
553,34.7,47.8,50,44.5,13,65,0,76,80,75,30.3,C,Pública
554,53.7,62.2,75,43,40,40,40,46,50,45,50.8,D,Pública
556,41.7,29.2,25,35.5,42,50,40,29,65,20,45.9,C,Pública
557,52.2,62.2,50,80.5,94,70,100,67,55,70,48.8,D,Pública
559,25.7,37.5,62.5,0,0,0,0,0,0,0,21.7,A,Pública
560,57.9,64.6,50,86.5,80,80,80,93,65,100,55.6,D,Pública
562,50.5,58.7,62.5,53,55,75,50,51,75,45,47.7,C,Pública
565,39.4,58.1,62.5,51.5,77,65,80,26,50,20,33.1,D,Pública
567,36.4,43.4,50,33.5,17,25,15,50,50,50,34.1,C,Pública
568,49.7,54.1,62.5,41.5,37,65,30,46,50,45,48.2,C,Pública
573,62.7,69.6,75,61.5,50,50,50,73,65,75,60.4,D,Pública
576,32.7,43.6,25,71.5,70,70,70,73,65,75,29.1,C,Pública
579,42.7,50.3,37.5,69.5,88,80,90,51,75,45,40.2,C,Pública
589,31.5,43.2,50,33,66,50,70,0,0,0,27.6,C,Pública
590,30.1,53.6,50,59,68,60,70,50,70,45,22.3,D,Pública
591,50.5,67.9,62.5,76,82,90,80,70,50,75,44.7,D,Pública
592,35.4,38.8,50,22,44,60,40,0,0,0,34.3,D,Pública
593,27.8,48.5,37.5,65,59,75,55,71,55,75,20.9,D,Pública
595,33.4,51,50,52.5,53,65,50,52,60,50,27.5,D,Pública
603,24,46.8,50,42,71,55,75,13,65,0,16.4,.,Pública
604,39.7,43.7,37.5,53,73,65,75,33,65,25,38.4,C,Pública
605,16,0,0,0,0,0,0,0,0,0,21.3,E,Pública
607,40.8,36.6,50,16.5,33,65,25,0,0,0,42.2,B,Pública
608,35.5,63.9,62.5,66,62,50,65,70,70,70,26,C,Pública
609,35.7,40,50,25,37,65,30,13,65,0,34.3,B,Pública
612,57.1,66,75,52.5,60,60,60,45,25,50,54.1,B,Pública
613,29.2,45.6,25,76.5,79,75,80,74,70,75,23.7,B,Pública
614,28.8,46.3,37.5,59.5,48,80,40,71,75,70,22.9,B,Pública
615,33.3,51.4,50,53.5,58,70,55,49,45,50,27.3,B,Pública
618,50.8,43.8,50,34.5,12,0,15,57,85,50,53.1,D,Pública
619,42.1,30,50,0,0,0,0,0,0,0,46.1,B,Pública
620,53.8,71.7,87.5,48,63,75,60,33,65,25,47.8,E,Pública
621,57.5,87.3,87.5,87,77,65,80,97,85,100,47.5,C,Pública
622,62.1,58.6,50,71.5,72,80,70,71,75,70,63.2,D,Pública
623,35.9,37.5,62.5,0,0,0,0,0,0,0,35.4,B,Pública
627,23.9,50,50,50,65,65,65,35,75,25,15.2,B,Pública
629,54.4,48.5,62.5,27.5,55,55,55,0,55,0,56.3,D,Pública
630,57.9,48.8,50,47,66,50,70,28,60,20,60.9,D,Pública
631,47.3,51.2,50,53,78,70,80,28,60,20,46,D,Pública
632,41.3,37.5,62.5,0,0,0,0,0,0,0,42.5,B,Pública
633,77.8,90.2,100,75.5,79,75,80,72,80,70,73.6,D,Pública
636,33.8,48.6,50,46.5,60,60,60,33,85,20,28.8,.,Pública
637,49.2,47.3,62.5,24.5,0,0,0,49,65,45,49.8,D,Pública
640,33.3,47.4,25,81,67,75,65,95,75,100,28.6,C,Pública
641,34.4,72.6,75,69,50,30,55,88,40,100,21.7,D,Pública
642,54.1,52.5,37.5,75,76,60,80,74,70,75,54.6,B,Pública
643,60.1,51.5,37.5,72.5,77,65,80,68,40,75,63,.,Pública
645,76.4,78.7,87.5,65.5,77,65,80,54,70,50,75.6,D,Pública
646,48.8,67,75,55,59,55,60,51,55,50,42.7,C,Pública
647,48.5,62.1,62.5,61.5,56,40,60,67,55,70,43.9,C,Pública
648,37.8,43.4,50,33.5,67,75,65,0,0,0,35.9,C,Pública
649,67,75.4,75,76,59,75,55,93,65,100,64.2,C,Pública
650,43.3,61.5,62.5,60,68,60,70,52,60,50,37.2,D,Pública
652,29.1,65.7,62.5,70.5,92,60,100,49,65,45,16.9,E,Pública
653,30.9,55.9,62.5,46,59,75,55,33,65,25,22.5,C,Pública
654,39.8,63.5,62.5,65,66,50,70,64,40,70,31.9,D,Pública
656,25.4,43.2,25,70.5,71,55,75,70,50,75,19.4,C,Pública
657,50.1,54.9,62.5,43.5,39,75,30,48,60,45,48.5,D,Pública
658,48.9,64.6,50,86.5,78,90,75,95,75,100,43.7,E,Pública
659,53.1,62.2,75,43,86,70,90,0,0,0,50,B,Pública
660,30.2,72.6,75,69,69,85,65,69,65,70,16,C,Pública
661,48.4,58.6,50,71.5,52,60,50,91,55,100,45,D,Pública
666,24.1,49.3,37.5,67,64,60,65,70,50,75,15.7,C,Pública
667,28.5,60.7,62.5,58,46,70,40,70,50,75,17.7,D,Pública
668,38.3,48.5,37.5,65,84,60,90,46,50,45,34.9,D,Pública
670,41.3,47.4,25,81,84,60,90,78,90,75,39.2,C,Pública
671,53.1,33.3,12.5,64.5,80,40,90,49,65,45,59.7,C,Pública
675,54.8,66.1,62.5,71.5,46,70,40,97,85,100,51,C,Pública
676,40.5,58.7,62.5,53,55,75,50,51,75,45,34.4,D,Pública
677,36.8,49.9,37.5,68.5,62,70,60,75,75,75,32.4,D,Pública
678,52.2,64.9,62.5,68.5,44,60,40,93,65,100,48,C,Pública
679,60.5,71.4,75,66,55,75,50,77,85,75,56.8,C,Pública
682,62.6,69.9,62.5,81,92,60,100,70,50,75,60.2,E,Pública
683,43.5,43,25,70,54,50,55,86,30,100,43.7,B,Pública
684,32.8,67.1,62.5,74,77,65,80,71,55,75,21.3,.,Pública
685,48.5,45,75,0,0,0,0,0,0,0,49.6,C,Pública
686,27.5,46.2,25,78,63,75,60,93,65,100,21.3,C,Pública
687,20.6,29.1,37.5,16.5,33,65,25,0,0,0,17.7,E,Pública
688,55.2,46.3,37.5,59.5,68,60,70,51,75,45,58.1,C,Pública
689,43.1,51.7,37.5,73,71,75,70,75,75,75,40.2,E,Pública
690,23.4,40.5,12.5,82.5,94,70,100,71,55,75,17.7,D,Pública
691,31.2,46.3,37.5,59.5,47,75,40,72,80,70,26.2,D,Pública
693,48.4,66.2,50,90.5,90,50,100,91,55,100,42.4,D,Pública
694,45.5,34.6,25,49,52,60,50,46,50,45,49.1,E,Pública
696,38.8,73.3,62.5,89.5,86,70,90,93,65,100,27.3,E,Pública
697,31.3,52.1,37.5,74,77,65,80,71,55,75,24.3,B,Pública
699,42.1,54.5,37.5,80,63,75,60,97,85,100,37.9,D,Pública
701,40.1,48.9,37.5,66,61,65,60,71,75,70,37.2,D,Pública
703,53.2,53.3,62.5,39.5,79,75,80,0,0,0,53.1,E,Pública
704,37.3,58.9,62.5,53.5,60,40,65,47,55,45,30.1,D,Pública
705,38.3,67.5,62.5,75,74,70,75,76,80,75,28.6,E,Pública
706,31,49.5,62.5,30,9,45,0,51,75,45,24.8,B,Pública
710,47.6,59.8,75,37,65,65,65,9,45,0,43.5,B,Pública
711,36,58.4,50,71,69,65,70,73,85,70,28.5,D,Pública
712,35.5,34.2,25,48,79,75,80,17,85,0,35.9,C,Pública
713,46.2,53.8,50,59.5,68,60,70,51,75,45,43.7,C,Pública
714,45.2,79.2,75,85.5,74,50,80,97,85,100,33.8,C,Pública
715,38.2,45,50,37.5,75,75,75,0,75,0,35.9,E,Pública
717,37.9,55.8,75,27,54,70,50,0,0,0,31.9,D,Pública
718,43,56.2,50,65.5,81,85,80,50,70,45,38.6,D,Pública
720,49.9,59.3,62.5,54.5,38,70,30,71,75,70,46.7,D,Pública
721,32.7,52,50,55,59,55,60,51,75,45,26.2,C,Pública
722,47,60.4,50,76,77,65,80,75,75,75,42.5,D,Pública
723,34.3,41.5,37.5,47.5,63,75,60,32,80,20,31.9,E,Pública
724,21.6,63.5,62.5,65,79,75,80,51,75,45,7.6,B,Pública
725,22.1,35.4,25,51,52,60,50,50,50,50,17.7,D,Pública
727,53.1,51.7,37.5,73,75,55,80,71,75,70,53.6,B,Pública
729,51.5,45.2,25,75.5,60,80,55,91,55,100,53.6,C,Pública
730,28.1,47.3,37.5,62,55,55,55,69,65,70,21.7,D,Pública
738,49.1,30,50,0,0,80,0,0,65,0,55.4,C,Pública
742,53.1,44.1,37.5,54,76,60,80,32,60,25,56.1,D,Pública
744,61.9,54.4,50,61,54,70,50,68,60,70,64.4,D,Pública
745,46.2,79.3,87.5,67,59,75,55,75,75,75,35.1,B,Pública
749,61,52.3,37.5,74.5,79,75,80,70,50,75,63.9,C,Pública
750,77.5,63.3,62.5,64.5,63,75,60,66,50,70,82.2,D,Pública
751,44.1,36.5,37.5,35,0,0,0,70,70,70,46.6,B,Pública
752,49.6,61.9,62.5,61,75,75,75,47,55,45,45.5,D,Pública
753,53.6,62,50,80,88,80,90,72,60,75,50.8,E,Pública
754,29.4,49,25,85,78,70,80,92,60,100,22.9,D,Pública
755,35.7,45.1,42.9,48.5,49,45,50,48,40,50,32.6,D,Pública
756,37.6,17.2,28.6,0,0,0,0,0,0,0,44.4,D,Pública
757,40.6,66,71.4,58,65,65,65,51,75,45,32.1,C,Pública
758,53.1,55.3,42.9,74,73,65,75,75,75,75,52.4,D,Pública
759,59.9,53.8,28.6,91.5,93,65,100,90,50,100,61.9,D,Pública
760,60.8,68.3,57.1,85,94,70,100,76,80,75,58.3,C,Pública
761,53.8,54.9,42.9,73,78,70,80,68,60,70,53.4,D,Pública
